lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,mesh_idx,strike_slip_rate,dip_slip_rate,strike_slip_rate_kinematic,dip_slip_rate_kinematic,strike_slip_coupling,dip_slip_coupling
232.06,49.636,0.0,232.155,49.468,0.0,232.174,49.619,-3.1,0,-3.461983833126675,29.569945245818808,-6.126807386820936,41.50783438259209,0.5694569403683677,0.7109547867733244
232.411,49.299,-3.8,232.173,49.109,0.0,232.41500000000002,49.088,-2.1,0,1.155896706434065,31.62576125317869,1.7779590533479004,39.36850772021962,0.6370240207590707,0.8022172378308993
234.663,43.131,0.0,234.711,42.959,0.0,234.957,43.141,-3.6,0,-1.8359011887032477,21.357306528297986,-3.9347962504765377,24.50868100661134,0.46609522079712934,0.871301699041401
235.01600000000002,40.553,0.0,235.0,40.375,0.0,235.122,40.45,-3.7,0,2.0239490313139616,11.837178778933911,3.6738107982280894,25.20267631284102,0.6665858633591937,0.4673435260226439
234.215,47.089,-2.3,234.514,47.122,-4.8,234.43099999999998,47.282,-4.8,0,-0.2803496342413847,30.632695788296434,-1.6060647783865818,31.877981018745572,0.14953224861119924,0.9607267723651526
232.16500000000002,49.288,0.0,232.173,49.109,0.0,232.411,49.299,-3.8,0,-14.636648869199288,25.497035274247907,-23.227746031876862,32.10165816835537,0.6318108231869316,0.7934679729828683
235.189,41.661,-4.5,234.916,41.672,-2.1,234.963,41.518,-2.0,0,8.292066924718476,10.481562045911817,11.89577455545232,14.822526218991442,0.7086547335029902,0.7094548624256244
235.236,41.503,-4.6,235.189,41.661,-4.5,234.963,41.518,-2.0,0,6.525131413070752,11.402635198213616,9.519846359103013,16.634322240214146,0.7008239050599449,0.687014513200475
235.248,41.188,-4.2,235.276,41.348,-4.6,235.05200000000002,41.214,-2.0,0,4.3964532981430695,13.62960143584832,6.224377472997048,19.66575258256202,0.7363521784588467,0.6930286718085759
234.951,42.568,-2.7,234.80700000000002,42.44,0.0,235.09699999999998,42.386,-4.2,0,3.727496773428205,9.343241405987564,9.440924568347029,11.925614768450174,0.416732566200035,0.7913954577827121
235.269,40.744,-6.5,235.312,40.919,-6.5,235.058,40.907,0.0,0,-0.3790643570730636,15.057940339926844,-0.11191213891626717,23.039252536996287,0.7163793971829328,0.651596416254315
234.047,47.495,-2.2,234.162,47.276,-2.5,234.334,47.443,-4.7,0,-1.5452330147799123,31.305107762422402,-9.905064738661942,32.54666684365793,0.15678949270499762,0.9617847679473179
235.269,40.744,-6.5,235.058,40.907,0.0,235.055,40.729,0.0,0,3.4537656365679976,14.742434009707779,5.16624995471912,23.017216057651694,0.7283761855312387,0.6393898522009941
233.725,47.955,-2.3,233.893,48.09,-4.5,233.588,48.137,-2.0,0,-1.7286777652885805,32.92353338814233,-4.8034450362132155,35.45317629757783,0.3641567856263439,0.9284945831509086
234.162,47.276,-2.5,234.215,47.089,-2.3,234.43099999999998,47.282,-4.8,0,-0.6955922907070258,30.691825850463363,-4.627963342831823,31.798540514701227,0.15403589924663194,0.9649942734830601
235.09300000000002,42.2,-4.3,234.862,42.16,-2.0,234.923,42.001,-2.4,0,4.160634867558638,10.91729632342596,8.013720319404797,14.693272833927836,0.5441915725148875,0.7479907676769629
234.957,43.141,-3.6,234.711,42.959,0.0,235.013,42.979,-4.2,0,-3.4842163103647272,19.724661791786534,-8.591200774515329,23.365465291061767,0.40544843036605194,0.8440242827103721
