other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,strain_rate,strain_rate_sig,strain_rate_flag,area_steradians,area_plate_carree,block_label,euler_lon_err,euler_lat_err,euler_rate,euler_rate_err
0,0,0,0,0,0,MohawkValley     ,239.5820,39.9250,62.5685,0,-42.6836,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,0,0.0000,0.0000,1.5068,0.0000
0,0,0,0,0,0,SierraBlock      ,240.5970,36.7460,211.5887,1,-5.5688,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,1,0.0000,0.0000,0.1496,0.0000
0,0,0,0,0,0,J                ,238.8910,41.6940,61.6475,0,-43.9308,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,2,0.0000,0.0000,1.1514,0.0000
0,0,0,0,0,0,H                ,240.5120,44.0180,62.7286,0,-45.1611,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,3,0.0000,0.0000,0.5661,0.0000
0,0,0,0,0,0,C                ,237.6600,45.2130,60.6325,0,-44.1928,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,4,0.0000,0.0000,1.2196,0.0000
0,0,0,0,0,0,PP               ,236.2990,47.8140,223.2373,0,55.5103,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,5,0.0000,0.0000,0.1915,0.0000
0,0,0,0,0,0,V                ,237.3840,46.1770,174.4610,0,46.2682,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,6,0.0000,0.0000,0.0814,0.0000
0,0,0,0,0,0,KK               ,237.4070,47.4510,62.2636,0,-45.8820,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,7,0.0000,0.0000,0.5091,0.0000
0,0,0,0,0,0,daisybanks       ,236.3880,43.3910,60.2374,0,-43.5430,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,8,0.0000,0.0000,1.4496,0.0000
0,0,0,0,0,0,U                ,238.2100,44.0010,60.2988,0,-43.8303,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,9,0.0000,0.0000,1.3368,0.0000
0,0,0,0,0,0,wnv              ,241.7500,40.1450,64.0828,0,-44.8867,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,10,0.0000,0.0000,0.5867,0.0000
