lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_up_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi,model_up_vel,model_up_vel_residual,model_up_vel_rotation,model_up_elastic_segment,model_up_vel_block_strain_rate,model_up_vel_mogi
234.5990,46.7000,0,0,NGH1_ACO,28.2000,8.6000,4.5000,4.8000,1,0,1,0,0,0,0.0000,-2529731.1063,-3559545.9027,4634052.7573,5,26.7956,12.1294,-1.4044,3.5294,3.7181,9.1921,0.5562,0.2603,-23.6337,-3.1976,2.8855,0.0000,0.0000,0.0000,0.0000,-2.8637,-2.8637,0.0000,-0.0218,0.0000,0.0000
235.0340,45.3020,0,0,NCL1_ACO,20.8000,23.2000,6.5000,6.8000,1,0,1,0,0,0,0.0000,-2566681.4114,-3670234.4923,4526132.6500,5,20.6771,17.6531,-0.1229,-5.5469,1.2884,8.6427,0.3932,0.1572,-19.7819,-9.1676,2.8939,0.0000,0.0000,0.0000,0.0000,-2.8882,-2.8882,0.0000,-0.0057,0.0000,0.0000
234.8060,44.4290,0,0,NNP1_ACO,20.5000,19.8000,4.8000,4.9000,1,0,1,0,0,0,0.0000,-2620711.8899,-3715921.9964,4457369.6693,5,17.4528,19.5783,-3.0472,-0.2217,-0.2846,8.9308,0.4120,0.1258,-18.1493,-10.7734,3.1126,0.0000,0.0000,0.0000,0.0000,-3.1114,-3.1114,0.0000,-0.0013,0.0000,0.0000
234.8960,43.5730,0,0,NGH1_ACO,22.1000,16.8000,9.2000,9.7000,1,0,1,0,0,0,0.0000,-2652873.6929,-3774097.3545,4388940.8506,5,18.1789,16.9762,-3.9211,0.1762,-1.7929,8.8171,0.5010,0.0809,-20.4728,-8.2400,2.8841,0.0000,0.0000,0.0000,0.0000,-2.8843,-2.8843,0.0000,0.0003,0.0000,0.0000
224.7720,59.5280,0,14,ab44_PAN,2.6710,5.9470,0.0890,0.1060,1,0,1,0,0,0,0.0000,-2292344.5757,-2274172.7061,5487954.6564,12,-0.8312,0.9745,-3.5022,-4.9725,0.4508,0.3299,1.2810,-0.6502,0.0010,0.0056,-0.0098,0.0000,0.0000,0.0000,0.0000,-0.3285,-0.3285,0.0000,0.3383,0.0000,0.0000
225.3530,56.2450,0,46,ab48_PAN,-1.9630,2.8320,0.1440,0.3800,1,0,1,0,0,0,0.0000,-2486300.5038,-2517127.0725,5294028.0097,43,-2.5938,4.5915,-0.6308,1.7595,-7.2567,-1.7752,-4.6681,-6.3744,0.0052,0.0077,-0.0137,0.0000,0.0000,0.0000,0.0000,-1.4095,-1.4095,0.0000,1.4231,0.0000,0.0000
226.9320,55.5800,0,14,ab49_PAN,1.0700,3.7340,0.2070,0.1180,1,0,1,0,0,0,0.0000,-2457791.2162,-2629394.9631,5252608.4879,12,0.0445,2.3589,-1.0255,-1.3751,0.2985,0.2705,0.2493,-2.0993,0.0047,0.0108,-0.0172,0.0000,0.0000,0.0000,0.0000,0.0406,0.0406,0.0000,-0.0235,0.0000,0.0000
225.4550,58.4170,0,14,ab50_PAN,-0.3800,1.0740,0.1030,0.1250,1,0,1,0,0,0,0.0000,-2339289.0466,-2376740.9985,5424313.8224,12,-0.3840,1.2939,-0.0040,0.2199,0.4087,0.3112,0.7911,-0.9894,0.0016,0.0066,-0.0114,0.0000,0.0000,0.0000,0.0000,-0.1457,-0.1457,0.0000,0.1571,0.0000,0.0000
227.0860,56.7980,0,14,ab51_PAN,-3.4730,0.2690,0.1340,0.1690,1,0,1,0,0,0,0.0000,-2374137.4019,-2553624.5420,5327928.7492,12,0.2213,1.4346,3.6943,1.1656,0.3493,0.2662,0.1260,-1.1780,0.0020,0.0096,-0.0153,0.0000,0.0000,0.0000,0.0000,0.0540,0.0540,0.0000,-0.0387,0.0000,0.0000
228.4010,55.0690,0,14,ais6_PAN,1.5070,1.4730,0.3080,0.3570,1,0,1,0,0,0,0.0000,-2420582.3535,-2726463.3642,5220299.8051,12,0.2491,1.4962,-1.2579,0.0232,0.2827,0.2299,0.0304,-1.2816,0.0031,0.0153,-0.0215,0.0000,0.0000,0.0000,0.0000,0.0644,0.0644,0.0000,-0.0430,0.0000,0.0000
