lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_up_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi,model_up_vel,model_up_vel_residual,model_up_vel_rotation,model_up_elastic_segment,model_up_vel_block_strain_rate,model_up_vel_mogi
234.5990,46.7000,0,0,NGH1_ACO,28.2000,8.6000,4.5000,4.8000,1,0,1,0,0,0,0.0000,-2529731.1063,-3559545.9027,4634052.7573,5,21.8547,16.0899,-6.3453,7.4899,2.8673,8.6859,0.5221,0.2419,-19.5095,-7.6459,2.0958,0.0000,0.0000,0.0000,0.0000,-2.0705,-2.0705,0.0000,-0.0253,0.0000,0.0000
235.0340,45.3020,0,0,NCL1_ACO,20.8000,23.2000,6.5000,6.8000,1,0,1,0,0,0,0.0000,-2566681.4114,-3670234.4923,4526132.6500,5,17.7600,15.1834,-3.0400,-8.0166,0.5010,8.1553,0.3559,0.1410,-17.6149,-7.1690,2.6370,0.0000,0.0000,0.0000,0.0000,-2.6292,-2.6292,0.0000,-0.0078,0.0000,0.0000
234.8060,44.4290,0,0,NNP1_ACO,20.5000,19.8000,4.8000,4.9000,1,0,1,0,0,0,0.0000,-2620711.8899,-3715921.9964,4457369.6693,5,13.9291,17.7101,-6.5709,-2.0899,-1.0291,8.4335,0.3807,0.1122,-15.3390,-9.3888,3.3265,0.0000,0.0000,0.0000,0.0000,-3.3228,-3.3228,0.0000,-0.0037,0.0000,0.0000
234.8960,43.5730,0,0,NGH1_ACO,22.1000,16.8000,9.2000,9.7000,1,0,1,0,0,0,0.0000,-2652873.6929,-3774097.3545,4388940.8506,5,12.5511,16.4224,-9.5489,-0.3776,-2.4971,8.3237,0.4715,0.0678,-15.5198,-8.1665,2.0914,0.0000,0.0000,0.0000,0.0000,-2.0892,-2.0892,0.0000,-0.0022,0.0000,0.0000
224.7720,59.5280,0,14,ab44_PAN,2.6710,5.9470,0.0890,0.1060,1,0,1,0,0,0,0.0000,-2292344.5757,-2274172.7061,5487954.6564,12,-0.8482,0.9616,-3.5192,-4.9854,0.4290,0.3093,1.2765,-0.6580,0.0007,0.0057,-0.0111,0.0000,0.0000,0.0000,0.0000,-0.3264,-0.3264,0.0000,0.3375,0.0000,0.0000
225.3530,56.2450,0,46,ab48_PAN,-1.9630,2.8320,0.1440,0.3800,1,0,1,0,0,0,0.0000,-2486300.5038,-2517127.0725,5294028.0097,43,-2.6076,4.5972,-0.6446,1.7652,-7.2871,-1.7698,-4.6843,-6.3756,0.0048,0.0086,-0.0158,0.0000,0.0000,0.0000,0.0000,-1.4073,-1.4073,0.0000,1.4231,0.0000,0.0000
226.9320,55.5800,0,14,ab49_PAN,1.0700,3.7340,0.2070,0.1180,1,0,1,0,0,0,0.0000,-2457791.2162,-2629394.9631,5252608.4879,12,0.0288,2.3447,-1.0412,-1.3893,0.2781,0.2511,0.2452,-2.1054,0.0041,0.0119,-0.0198,0.0000,0.0000,0.0000,0.0000,0.0428,0.0428,0.0000,-0.0230,0.0000,0.0000
225.4550,58.4170,0,14,ab50_PAN,-0.3800,1.0740,0.1030,0.1250,1,0,1,0,0,0,0.0000,-2339289.0466,-2376740.9985,5424313.8224,12,-0.4005,1.2800,-0.0205,0.2060,0.3873,0.2909,0.7866,-0.9959,0.0012,0.0068,-0.0130,0.0000,0.0000,0.0000,0.0000,-0.1440,-0.1440,0.0000,0.1570,0.0000,0.0000
227.0860,56.7980,0,14,ab51_PAN,-3.4730,0.2690,0.1340,0.1690,1,0,1,0,0,0,0.0000,-2374137.4019,-2553624.5420,5327928.7492,12,0.2031,1.4187,3.6761,1.1497,0.3282,0.2469,0.1236,-1.1818,0.0015,0.0100,-0.0174,0.0000,0.0000,0.0000,0.0000,0.0557,0.0557,0.0000,-0.0383,0.0000,0.0000
228.4010,55.0690,0,14,ais6_PAN,1.5070,1.4730,0.3080,0.3570,1,0,1,0,0,0,0.0000,-2420582.3535,-2726463.3642,5220299.8051,12,0.2323,1.4804,-1.2747,0.0074,0.2621,0.2113,0.0276,-1.2853,0.0022,0.0162,-0.0246,0.0000,0.0000,0.0000,0.0000,0.0667,0.0667,0.0000,-0.0420,0.0000,0.0000
236.5130,48.3900,0,8,albh_PAN,6.5110,4.3720,0.0680,0.0570,1,0,1,0,0,0,0.0000,-2332979.5871,-3526485.8735,4760825.0431,5,6.6331,5.5174,0.1221,1.1454,5.9683,6.3478,1.8561,1.9653,-2.5209,-1.1349,-0.3349,0.0000,0.0000,0.0000,0.0000,1.6412,1.6412,0.0000,-1.3063,0.0000,0.0000
297.6600,82.4940,0,47,alrt_PAN,-2.5460,-1.8080,0.1720,0.2200,1,0,1,0,0,0,0.0000,386131.8000,-736721.9233,6312883.2163,44,-2.4710,-0.6590,0.0750,1.1490,-2.4549,-0.8021,0.0173,-0.1427,-0.0012,-0.0004,-0.0010,0.0000,0.0000,0.0000,0.0000,-0.0139,-0.0139,0.0000,0.0150,0.0000,0.0000
237.8580,48.1740,0,13,arli_PAN,4.2960,3.0500,0.0890,0.0780,1,0,1,0,0,0,0.0000,-2259093.9074,-3595446.7562,4744850.7671,11,4.0236,3.2651,-0.2724,0.2151,2.2845,1.6567,-0.4452,-1.0901,-1.2939,-0.5182,0.0007,0.0000,0.0000,0.0000,0.0000,0.1403,0.1403,0.0000,-0.1409,0.0000,0.0000
237.3300,42.1810,0,4,ashl_PAN,-1.9500,6.7510,0.0980,0.0840,1,0,1,0,0,0,0.0000,-2547017.7720,-3971961.0150,4275579.2153,5,-2.8193,6.1604,-0.8693,-0.5906,-4.7030,5.3475,-0.0027,-0.4350,-1.8811,-0.3779,-0.2477,0.0000,0.0000,0.0000,0.0000,0.1726,0.1726,0.0000,0.0751,0.0000,0.0000
242.8460,34.4680,0,28,avry_PAN,-12.3380,13.3290,0.1940,0.1090,1,0,1,0,0,0,0.0000,-2395827.9845,-4670997.5090,3603629.0043,25,-12.9019,14.0828,-0.5639,0.7538,-12.3807,14.4783,0.5324,0.3995,-0.0112,-0.0040,-0.0145,0.0000,0.0000,0.0000,0.0000,-0.3409,-0.3409,0.0000,0.3554,0.0000,0.0000
234.8650,48.8350,0,8,bamf_PAN,10.1030,6.8710,0.0850,0.0840,1,0,1,0,0,0,0.0000,-2412079.9884,-3427590.0446,4793521.4694,5,10.1836,7.7297,0.0806,0.8587,6.5766,8.3615,1.3639,1.0760,-4.9708,-0.4442,-1.2891,0.0000,0.0000,0.0000,0.0000,1.5490,1.5490,0.0000,-0.2599,0.0000,0.0000
242.7950,40.4130,0,17,bamo_PAN,-3.0240,0.8580,0.0570,0.0700,1,0,1,0,0,0,0.0000,-2216440.3074,-4311800.8313,4127967.7102,14,-3.3236,0.4341,-0.2996,-0.4239,-3.0430,0.0409,0.4256,-0.4078,-0.1449,0.0145,0.0003,0.0000,0.0000,0.0000,0.0000,-0.1124,-0.1124,0.0000,0.1122,0.0000,0.0000
236.5710,48.4290,0,8,bces_PAN,6.1920,3.9210,0.1720,0.1040,1,0,1,0,0,0,0.0000,-2327622.7712,-3526140.4061,4763702.0828,5,6.5393,5.0640,0.3473,1.1430,6.0403,6.2768,1.8364,2.2838,-2.3353,-1.0710,-0.2744,0.0000,0.0000,0.0000,0.0000,2.3527,2.3527,0.0000,-2.0783,0.0000,0.0000
237.3430,49.1040,0,14,bclc_PAN,4.0350,2.6880,0.0960,0.1270,1,0,1,0,0,0,0.0000,-2249461.0030,-3509686.6748,4813146.1750,10,3.8404,3.1689,-0.1946,0.4809,3.3375,2.6113,0.4230,-0.0363,-0.9259,-0.5213,-0.0053,0.0000,0.0000,0.0000,0.0000,0.1762,0.1762,0.0000,-0.1709,0.0000,0.0000
236.8530,49.1150,0,14,bcli_PAN,5.5790,3.4500,0.0900,0.0890,1,0,1,0,0,0,0.0000,-2278888.3080,-3489547.1672,4813946.4173,10,4.2281,3.2710,-1.3509,-0.1790,3.3104,2.3073,0.1752,-0.3285,-1.0928,-0.6352,-0.0406,0.0000,0.0000,0.0000,0.0000,0.2193,0.2193,0.0000,-0.1787,0.0000,0.0000
237.4610,49.2210,0,14,bcmr_PAN,4.1070,2.0250,0.0950,0.1070,1,0,1,0,0,0,0.0000,-2236936.8553,-3506018.8736,4821648.7455,10,3.4997,3.0494,-0.6073,1.0244,3.2229,2.6845,0.5416,0.1074,-0.8184,-0.4723,0.0019,0.0000,0.0000,0.0000,0.0000,0.1950,0.1950,0.0000,-0.1969,0.0000,0.0000
233.1570,50.5440,0,14,bcov_PAN,2.7260,2.8150,0.0650,0.1090,1,0,1,0,0,0,0.0000,-2426331.1789,-3238274.2404,4916385.7066,10,2.1652,2.5587,-0.5608,-0.2563,1.8016,0.0103,-0.3763,-3.3610,0.0127,0.8126,-0.0258,0.0000,0.0000,0.0000,0.0000,1.1347,1.1347,0.0000,-1.1089,0.0000,0.0000
232.6250,50.6860,0,14,bcph_PAN,2.3890,2.1940,0.0880,0.1570,1,0,1,0,0,0,0.0000,-2448890.0730,-3205913.3931,4926399.1097,10,1.7099,2.5391,-0.6791,0.3451,1.6583,-0.3205,0.0661,-3.5746,-0.1178,0.7150,-0.0318,0.0000,0.0000,0.0000,0.0000,0.9664,0.9664,0.0000,-0.9346,0.0000,0.0000
236.2000,48.5590,0,8,bcsm_PAN,7.3740,4.3610,0.2490,0.2560,1,0,1,0,0,0,0.0000,-2344387.4152,-3502004.1103,4773276.2669,5,8.1150,5.8790,0.7410,1.5180,6.2331,6.7307,0.8071,2.1205,-2.6891,-1.2688,-0.4785,0.0000,0.0000,0.0000,0.0000,-1.0716,-1.0716,0.0000,1.5501,0.0000,0.0000
236.9110,49.2760,0,14,bcvc_PAN,5.1180,3.0910,0.0940,0.1070,1,0,1,0,0,0,0.0000,-2267960.7339,-3480505.1885,4825638.7353,10,3.8314,3.1104,-1.2866,0.0194,3.1488,2.3433,0.2457,-0.2038,-0.9283,-0.5633,-0.0265,0.0000,0.0000,0.0000,0.0000,0.1967,0.1967,0.0000,-0.1701,0.0000,0.0000
237.5210,48.7550,0,14,beli_PAN,4.7440,2.6470,0.0860,0.0930,1,0,1,0,0,0,0.0000,-2254248.4409,-3541324.8847,4787664.7219,10,4.3394,3.3540,-0.4046,0.7070,3.6978,2.7217,0.4591,-0.0816,-1.1007,-0.5508,-0.0039,0.0000,0.0000,0.0000,0.0000,0.1713,0.1713,0.0000,-0.1675,0.0000,0.0000
237.8750,47.6170,0,8,bfir_PAN,5.0250,2.6650,0.3040,0.3900,1,0,1,0,0,0,0.0000,-2282448.7967,-3635010.8268,4703347.2380,5,4.4079,3.4527,-0.6171,0.7877,4.7308,4.6796,1.8979,1.7262,-1.5750,-0.4994,-0.0219,0.0000,0.0000,0.0000,0.0000,0.7794,0.7794,0.0000,-0.7575,0.0000,0.0000
235.7470,47.5390,0,8,bils_PAN,14.1680,10.5610,0.3120,0.3290,1,0,1,0,0,0,0.0000,-2419451.8549,-3553041.0803,4697499.6823,5,12.0798,9.4287,-2.0882,-1.1323,4.4321,7.2846,0.6067,0.4393,-8.2543,-2.5834,-2.0501,0.0000,0.0000,0.0000,0.0000,2.1097,2.1097,0.0000,-0.0597,0.0000,0.0000
240.3170,48.1320,0,14,brew_PAN,2.0520,1.1210,0.0410,0.0480,1,0,1,0,0,0,0.0000,-2104474.7624,-3692081.9828,4741736.8198,12,0.7949,0.4254,-1.2571,-0.6956,-0.0149,-0.1142,-0.2670,-0.3398,-0.5428,-0.1998,0.0496,0.0000,0.0000,0.0000,0.0000,0.0260,0.0260,0.0000,-0.0756,0.0000,0.0000
295.3040,32.3700,0,14,brmu_PAN,0.0180,0.2010,0.1410,0.1150,1,0,1,0,0,0,0.0000,2298668.7611,-4861992.8107,3409032.0176,12,-0.5566,-1.4497,-0.5746,-1.6507,-1.0629,-1.3471,-0.5021,0.1033,-0.0041,-0.0007,0.0009,0.0000,0.0000,0.0000,0.0000,-0.0249,-0.0249,0.0000,0.0240,0.0000,0.0000
236.9840,49.2700,0,14,brn3_PAN,4.9680,3.1980,0.5230,0.5000,1,0,1,0,0,0,0.0000,-2263799.7499,-3483815.6673,4825203.6797,10,3.7912,3.1057,-1.1768,-0.0923,3.1572,2.3886,0.2781,-0.1668,-0.9121,-0.5503,-0.0219,0.0000,0.0000,0.0000,0.0000,0.1911,0.1911,0.0000,-0.1692,0.0000,0.0000
236.9780,49.2750,0,14,brnb_PAN,4.3390,3.0300,0.2110,0.2120,1,0,1,0,0,0,0.0000,-2263935.0819,-3483225.5123,4825566.2297,10,3.7852,3.1023,-0.5538,0.0723,3.1519,2.3848,0.2765,-0.1676,-0.9098,-0.5499,-0.0221,0.0000,0.0000,0.0000,0.0000,0.1914,0.1914,0.0000,-0.1693,0.0000,0.0000
237.8680,47.5540,0,8,bsum_PAN,4.7490,4.0050,0.1940,0.3980,1,0,1,0,0,0,0.0000,-2285642.1269,-3639109.1884,4698624.8887,5,4.4061,3.3604,-0.3429,-0.6446,4.6215,4.6881,1.8245,1.8236,-1.6091,-0.4958,-0.0257,0.0000,0.0000,0.0000,0.0000,0.3527,0.3527,0.0000,-0.3271,0.0000,0.0000
237.2030,45.4860,0,7,bton_PAN,4.4490,5.4440,0.3120,0.2810,1,0,1,0,0,0,0.0000,-2418048.8508,-3752508.8438,4540492.1092,4,4.8086,6.1793,0.3596,0.7353,2.7179,6.1649,1.0138,0.5497,-3.1045,-0.5642,-0.3582,0.0000,0.0000,0.0000,0.0000,0.2955,0.2955,0.0000,0.0626,0.0000,0.0000
242.1560,42.7800,0,12,burn_PAN,-1.6660,1.1180,0.0420,0.0530,1,0,1,0,0,0,0.0000,-2182829.3577,-4132408.9709,4324673.8089,9,-2.0869,1.4237,-0.4209,0.3057,-2.4134,1.5520,-0.0157,0.1345,-0.3108,-0.0061,0.0248,0.0000,0.0000,0.0000,0.0000,-0.0690,-0.0690,0.0000,0.0443,0.0000,0.0000
235.4370,42.8360,0,4,cabl_PAN,6.1720,13.7010,0.0720,0.0730,1,0,1,0,0,0,0.0000,-2648930.4339,-3845153.3128,4329239.5428,5,5.9058,12.9337,-0.2662,-0.7673,-3.7173,7.6633,0.4032,-0.1048,-10.0263,-5.1656,0.7491,0.0000,0.0000,0.0000,0.0000,-0.7524,-0.7524,0.0000,0.0033,0.0000,0.0000
239.5690,35.8880,0,41,carh_PAN,-22.4460,28.1230,0.1730,0.1860,1,0,1,0,0,0,0.0000,-2612871.8248,-4448016.5388,3732613.1810,38,-28.0061,34.2608,-5.5601,6.1378,-28.8681,32.7340,-0.8604,-1.5085,-0.0016,-0.0183,-0.0295,0.0000,0.0000,0.0000,0.0000,0.0192,0.0192,0.0000,0.0103,0.0000,0.0000
236.6330,46.1970,0,9,cath_PAN,6.2200,6.8340,0.0790,0.1040,1,0,1,0,0,0,0.0000,-2424082.3570,-3680925.2757,4595537.5422,6,6.9067,6.4356,0.6867,-0.3984,2.5884,5.1871,0.4882,-0.1734,-4.8064,-1.0751,-1.1170,0.0000,0.0000,0.0000,0.0000,1.1828,1.1828,0.0000,-0.0658,0.0000,0.0000
237.8090,47.6140,0,8,cblv_PAN,5.0470,3.4570,0.2230,0.1900,1,0,1,0,0,0,0.0000,-2286765.7071,-3632587.6283,4703122.4931,5,4.5648,3.5817,-0.4822,0.1247,4.7216,4.7605,1.7946,1.6972,-1.6378,-0.5184,-0.0318,0.0000,0.0000,0.0000,0.0000,0.5647,0.5647,0.0000,-0.5329,0.0000,0.0000
238.1740,47.5270,0,13,ch2m_PAN,4.2720,4.1260,0.4790,0.8960,1,0,1,0,0,0,0.0000,-2267341.5791,-3653145.0530,4696599.2854,11,3.9419,2.8964,-0.3301,-1.2296,2.3634,1.6709,-0.2080,-0.8060,-1.3706,-0.4196,0.0081,0.0000,0.0000,0.0000,0.0000,0.6179,0.6179,0.0000,-0.6260,0.0000,0.0000
