lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust
242.244,36.217,0,38,GS35_GPS,-7.475,6.811,0.343,0.337,1,0,1,0,0,0
242.213,36.538,0,38,CERR_GPS,-7.687,6.259,0.217,0.222,1,0,1,0,0,0
242.155,34.458,0,28,HOLC_GNR,-18.278,21.088,0.208,0.208,1,0,1,0,0,0
242.136,34.985,0,28,TTAP_GPS,-11.569,15.029,0.209,0.21,1,0,1,0,0,0
242.13,35.584,0,39,GS18_GPS,-10.971,11.22,0.209,0.21,1,0,1,0,0,0
242.116,36.062,0,38,FORK_GGE,-7.775,8.371,0.328,0.331,1,0,1,0,0,0
242.102,35.115,0,28,GS09_GPS,-10.842,14.191,0.211,0.212,1,0,1,0,0,0
242.093,36.204,0,38,GS04_GPS,-8.833,8.021,0.208,0.208,1,0,1,0,0,0
242.056,36.045,0,38,BM25_GPS,-9.03,10.689,0.224,0.23,1,0,1,0,0,0
242.039,35.426,0,39,GS15_GPS,-11.198,11.82,0.21,0.211,1,0,1,0,0,0
242.031,35.845,0,1,GS22_GPS,-9.902,11.221,0.219,0.22,1,0,1,0,0,0
242.013,37.092,0,20,WAUC_GPS,-6.94,6.69,0.4,0.4,1,0,1,0,0,0
241.965,35.668,0,27,GS03_GPS,-10.929,11.659,0.219,0.22,1,0,1,0,0,0
241.954,37.737,0,21,FISH_GPS,-4.824,5.324,0.349,0.349,1,0,1,0,0,0
241.918,35.225,0,27,GS01_GPS,-11.608,13.572,0.21,0.21,1,0,1,0,0,0
241.9,35.494,0,27,GS02_GPS,-11.46,11.698,0.209,0.21,1,0,1,0,0,0
241.899,36.914,0,38,RITA_GPS,-8.215,6.223,0.206,0.207,1,0,1,0,0,0
241.881,36.603,0,40,BAMA_GPS,-8.723,8.254,0.208,0.208,1,0,1,0,0,0
241.868,36.466,0,1,3188_GPS,-9.532,9.371,0.301,0.293,1,0,1,0,0,0
241.864,36.023,0,1,KMED_GPS,-9.991,10.155,0.203,0.204,1,0,1,0,0,0
241.848,37.271,0,38,WSTG_GPS,-7.143,5.337,0.214,0.214,1,0,1,0,0,0
241.794,34.992,0,28,TROP_GPS,-12.529,14.86,0.24,0.239,1,0,1,0,0,0
241.764,37.572,0,38,WMTN_GPS,-5.13,5.167,0.21,0.212,1,0,1,0,0,0
241.712,36.979,0,40,ABER_GPS,-8.809,7.734,0.313,0.308,1,0,1,0,0,0
241.706,37.233,0,38,OVRO_GPS,-7.627,7.205,0.203,0.204,1,0,1,0,0,0
241.492,35.086,0,27,DEER_GPS,-12.328,14.733,0.209,0.209,1,0,1,0,0,0
241.412,35.745,0,1,0614_GPS,-11.829,10.553,0.206,0.206,1,0,1,0,0,0
241.273,36.185,0,1,SPRN_GPS,-11.578,10.421,0.251,0.219,1,0,1,0,0,0
276.527,33.415,0,14,GOGA_PBO,-3.377,-1.22,0.567,0.537,1,0,1,0,0,0
269.752,42.914,0,14,JFWS_PBO,-3.912,-5.761,0.477,0.478,1,0,1,0,0,0
263.391,39.101,0,14,KSU1_PBO,-2.239,-1.01,0.388,0.388,1,0,1,0,0,0
261.219,34.738,0,14,WMOK_PBO,-0.996,-1.457,0.328,0.328,1,0,1,0,0,0
257.313,38.071,0,14,P040_PBO,-0.475,-1.463,0.119,0.299,1,0,1,0,0,0
256.846,36.448,0,14,P039_PBO,-0.934,-0.052,0.149,0.119,1,0,1,0,0,0
256.778,40.172,0,14,P044_PBO,-0.698,-0.35,0.119,0.09,1,0,1,0,0,0
256.593,34.147,0,14,P038_PBO,-1.217,-0.346,0.149,0.149,1,0,1,0,0,0
255.814,43.881,0,14,P043_PBO,-0.962,-1.027,0.358,0.209,1,0,1,0,0,0
255.559,45.846,0,14,P054_PBO,-0.689,-0.721,0.418,0.269,1,0,1,0,0,0
255.315,47.117,0,14,P055_PBO,-0.642,-1.215,0.358,0.239,1,0,1,0,0,0
255.089,42.052,0,14,P042_PBO,-1.03,-0.01,0.119,0.09,1,0,1,0,0,0
254.895,38.422,0,14,P037_PBO,-0.764,-0.105,0.089,0.119,1,0,1,0,0,0
254.816,34.601,0,14,P035_PBO,-1.402,-0.103,0.149,0.149,1,0,1,0,0,0
254.806,39.949,0,14,P041_PBO,-0.608,-0.203,0.119,0.09,1,0,1,0,0,0
254.706,36.42,0,14,P036_PBO,-1.637,0.299,0.179,0.09,1,0,1,0,0,0
254.33,39.762,0,14,RG17_PBO,-3.115,-0.292,0.507,0.508,1,0,1,0,0,0
254.089,36.635,0,14,P123_PBO,-0.73,-0.486,0.328,0.239,1,0,1,0,0,0
253.541,34.946,0,14,P034_PBO,-1.091,0.027,0.089,0.09,1,0,1,0,0,0
253.033,34.068,0,14,SC01_PBO,-0.824,-1.161,0.239,0.209,1,0,1,0,0,0
252.981,47.375,0,14,P052_PBO,-0.536,-0.959,0.268,0.299,1,0,1,0,0,0
252.805,32.659,0,14,P026_PBO,-1.574,0.945,0.119,0.209,1,0,1,0,0,0
252.744,41.742,0,14,P032_PBO,-0.545,-0.254,0.239,0.149,1,0,1,0,0,0
252.612,43.953,0,14,P033_PBO,-0.564,-1.15,0.179,0.149,1,0,1,0,0,0
252.12,35.132,0,14,P107_PBO,-0.987,0.461,0.358,0.269,1,0,1,0,0,0
252.092,36.032,0,14,P028_PBO,-0.955,-0.338,0.149,0.328,1,0,1,0,0,0
252.091,39.515,0,14,P031_PBO,0.772,-1.638,0.358,0.239,1,0,1,0,0,0
251.454,45.807,0,14,P051_PBO,-0.298,-1.223,0.179,0.149,1,0,1,0,0,0
250.666,38.097,0,14,P012_PBO,-1.383,-0.504,0.298,0.239,1,0,1,0,0,0
250.624,44.753,0,14,P718_PBO,-2.039,-1.503,0.388,0.418,1,0,1,0,0,0
250.481,36.15,0,14,P011_PBO,-0.753,-0.6,0.358,0.239,1,0,1,0,0,0
250.442,42.767,0,14,BLW2_PBO,-1.912,-0.099,0.089,0.09,1,0,1,0,0,0
250.429,45.457,0,14,P722_PBO,-0.113,-0.898,0.268,0.149,1,0,1,0,0,0
250.31,43.501,0,14,P715_PBO,-0.886,-0.296,0.477,0.508,1,0,1,0,0,0
250.103,44.485,0,14,P717_PBO,-0.15,-1.391,0.358,0.358,1,0,1,0,0,0
249.998,45.003,0,14,P721_PBO,-0.731,-0.788,0.209,0.209,1,0,1,0,0,0
249.991,34.264,0,14,P015_PBO,-1.722,-0.188,0.149,0.119,1,0,1,0,0,0
249.714,44.392,0,14,P709_PBO,-0.654,-0.381,0.298,0.239,1,0,1,0,0,0
249.713,44.64,0,14,WLWY_PBO,4.755,-4.781,0.149,0.09,1,0,1,0,0,0
249.694,44.943,0,14,P720_PBO,-0.834,-0.381,0.209,0.179,1,0,1,0,0,0
249.488,44.718,0,14,P716_PBO,-10.443,0.924,0.268,0.179,1,0,1,0,0,0
249.487,41.75,0,14,P030_PBO,-1.152,-0.676,0.298,0.149,1,0,1,0,0,0
249.241,45.354,0,14,P461_PBO,0.58,-0.97,0.268,0.149,1,0,1,0,0,0
249.139,44.636,0,14,P711_PBO,11.353,3.432,0.268,0.149,1,0,1,0,0,0
249.094,47.35,0,14,P049_PBO,0.353,-0.967,0.358,0.418,1,0,1,0,0,0
248.971,45.14,0,14,P460_PBO,0.671,-0.664,0.239,0.269,1,0,1,0,0,0
248.901,44.598,0,14,P680_PBO,0.651,-2.462,0.179,0.239,1,0,1,0,0,0
248.764,41.692,0,14,P101_PBO,-0.156,-0.759,0.268,0.149,1,0,1,0,0,0
248.752,48.809,0,14,P050_PBO,0.806,-1.259,0.268,0.239,1,0,1,0,0,0
248.742,40.732,0,14,P119_PBO,-0.392,-0.958,0.328,0.388,1,0,1,0,0,0
248.65,40.635,0,14,P118_PBO,-1.095,-0.756,0.179,0.179,1,0,1,0,0,0
248.585,40.807,0,14,P089_PBO,-1.089,0.145,0.119,0.09,1,0,1,0,0,0
248.549,44.318,0,14,P360_PBO,-1.961,-2.754,0.149,0.149,1,0,1,0,0,0
248.55,43.919,0,14,P684_PBO,-2.175,-1.654,0.149,0.119,1,0,1,0,0,0
248.55,39.817,0,14,P112_PBO,-0.825,-0.354,0.149,0.179,1,0,1,0,0,0
248.474,44.185,0,14,BBID_PBO,-2.566,-2.452,0.179,0.239,1,0,1,0,0,0
248.435,41.607,0,14,HWUT_PBO,-0.76,0.049,0.477,0.478,1,0,1,0,0,0
248.429,39.715,0,14,P110_PBO,0.171,-1.451,0.209,0.149,1,0,1,0,0,0
248.366,40.016,0,14,MPUT_PBO,-2.519,1.051,0.179,0.119,1,0,1,0,0,0
248.277,40.772,0,14,P088_PBO,-0.591,-1.347,0.388,0.418,1,0,1,0,0,0
248.265,42.827,0,14,P683_PBO,-4.216,-6.447,0.388,0.418,1,0,1,0,0,0
248.249,40.435,0,21,P117_PBO,-3.004,-2.247,0.418,0.478,1,0,1,0,0,0
248.211,45.218,0,14,P719_PBO,0.772,-1.646,0.418,0.448,1,0,1,0,0,0
248.055,39.589,0,21,P108_PBO,-1.735,-0.742,0.149,0.179,1,0,1,0,0,0
247.873,39.306,0,21,SPIC_PBO,-2.946,0.862,0.089,0.06,1,0,1,0,0,0
247.738,39.459,0,21,P106_PBO,-2.741,-0.535,0.328,0.328,1,0,1,0,0,0
247.718,40.649,0,21,P086_PBO,-2.498,0.966,0.119,0.119,1,0,1,0,0,0
247.668,41.635,0,21,P122_PBO,-2.262,-0.833,0.089,0.06,1,0,1,0,0,0
247.639,40.078,0,21,P016_PBO,-2.719,-0.232,0.418,0.328,1,0,1,0,0,0
247.545,35.342,0,14,FERN_PBO,-2.39,0.47,0.089,0.06,1,0,1,0,0,0
247.496,39.388,0,21,P105_PBO,-2.744,0.471,0.149,0.209,1,0,1,0,0,0
247.476,45.043,0,14,P706_PBO,-0.337,-1.128,0.418,0.418,1,0,1,0,0,0
247.472,40.634,0,21,P114_PBO,-2.699,-0.328,0.239,0.119,1,0,1,0,0,0
247.383,45.383,0,14,P045_PBO,-0.325,-1.826,0.358,0.388,1,0,1,0,0,0
247.377,41.757,0,21,P057_PBO,-2.758,-0.426,0.089,0.09,1,0,1,0,0,0
247.364,44.4,0,14,P681_PBO,-2.361,-1.926,0.358,0.388,1,0,1,0,0,0
247.302,41.803,0,21,P121_PBO,-2.857,-0.824,0.089,0.09,1,0,1,0,0,0
247.283,39.186,0,21,P104_PBO,-1.452,-1.024,0.477,0.328,1,0,1,0,0,0
247.281,42.212,0,21,P675_PBO,-3.342,-1.424,0.358,0.358,1,0,1,0,0,0
247.195,43.449,0,21,P678_PBO,-2.197,-1.522,0.477,0.388,1,0,1,0,0,0
246.988,41.817,0,21,P111_PBO,-2.657,-1.717,0.358,0.358,1,0,1,0,0,0
