lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_up_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi,model_up_vel,model_up_vel_residual,model_up_vel_rotation,model_up_elastic_segment,model_up_vel_block_strain_rate,model_up_vel_mogi
234.5990,46.7000,0,0,NGH1_ACO,28.2000,8.6000,4.5000,4.8000,1,0,1,0,0,0,0.0000,-2529731.1063,-3559545.9027,4634052.7573,14,27.2241,9.6771,-0.9759,1.0771,0.7782,6.2175,0.2441,0.6534,-26.6900,-4.1130,3.0473,0.0000,0.0000,0.0000,0.0000,-2.9141,-2.9141,0.0000,-0.1332,0.0000,0.0000
235.0340,45.3020,0,0,NCL1_ACO,20.8000,23.2000,6.5000,6.8000,1,0,1,0,0,0,0.0000,-2566681.4114,-3670234.4923,4526132.6500,14,19.8728,17.5389,-0.9272,-5.6611,1.5447,6.3694,0.2876,-0.0991,-18.6158,-11.0704,2.5162,0.0000,0.0000,0.0000,0.0000,-2.5161,-2.5161,0.0000,-0.0001,0.0000,0.0000
234.8060,44.4290,0,0,NNP1_ACO,20.5000,19.8000,4.8000,4.9000,1,0,1,0,0,0,0.0000,-2620711.8899,-3715921.9964,4457369.6693,8,19.1699,19.4275,-1.3301,-0.3725,2.8512,11.4290,0.9720,2.1292,-17.2906,-10.1277,2.7264,0.0000,0.0000,0.0000,0.0000,-1.9897,-1.9897,0.0000,-0.7367,0.0000,0.0000
234.8960,43.5730,0,0,NGH1_ACO,22.1000,16.8000,9.2000,9.7000,1,0,1,0,0,0,0.0000,-2652873.6929,-3774097.3545,4388940.8506,8,17.8657,16.8014,-4.2343,0.0014,0.3553,11.2376,0.5500,0.3064,-18.0604,-5.8702,2.2279,0.0000,0.0000,0.0000,0.0000,-2.2007,-2.2007,0.0000,-0.0272,0.0000,0.0000
224.7720,59.5280,0,14,ab44_PAN,2.6710,5.9470,0.0890,0.1060,1,0,1,0,0,0,0.0000,-2292344.5757,-2274172.7061,5487954.6564,13,-0.8507,0.9485,-3.5217,-4.9985,0.4176,0.3009,1.2683,-0.6458,0.0001,-0.0018,-0.0136,0.0000,0.0000,0.0000,0.0000,-0.3238,-0.3238,0.0000,0.3373,0.0000,0.0000
225.3530,56.2450,0,46,ab48_PAN,-1.9630,2.8320,0.1440,0.3800,1,0,1,0,0,0,0.0000,-2486300.5038,-2517127.0725,5294028.0097,46,-2.5754,4.5574,-0.6124,1.7254,-7.2932,-1.8952,-4.7226,-6.4528,0.0048,0.0003,-0.0223,0.0000,0.0000,0.0000,0.0000,-1.3956,-1.3956,0.0000,1.4179,0.0000,0.0000
226.9320,55.5800,0,14,ab49_PAN,1.0700,3.7340,0.2070,0.1180,1,0,1,0,0,0,0.0000,-2457791.2162,-2629394.9631,5252608.4879,13,0.0348,2.3528,-1.0352,-1.3812,0.2670,0.2433,0.2285,-2.1093,0.0036,-0.0003,-0.0281,0.0000,0.0000,0.0000,0.0000,0.0510,0.0510,0.0000,-0.0229,0.0000,0.0000
225.4550,58.4170,0,14,ab50_PAN,-0.3800,1.0740,0.1030,0.1250,1,0,1,0,0,0,0.0000,-2339289.0466,-2376740.9985,5424313.8224,13,-0.4008,1.2745,-0.0208,0.2005,0.3760,0.2827,0.7763,-0.9900,0.0005,-0.0017,-0.0163,0.0000,0.0000,0.0000,0.0000,-0.1403,-0.1403,0.0000,0.1566,0.0000,0.0000
227.0860,56.7980,0,14,ab51_PAN,-3.4730,0.2690,0.1340,0.1690,1,0,1,0,0,0,0.0000,-2374137.4019,-2553624.5420,5327928.7492,13,0.2028,1.4233,3.6758,1.1543,0.3169,0.2391,0.1137,-1.1818,0.0004,-0.0024,-0.0228,0.0000,0.0000,0.0000,0.0000,0.0612,0.0612,0.0000,-0.0384,0.0000,0.0000
228.4010,55.0690,0,14,ais6_PAN,1.5070,1.4730,0.3080,0.3570,1,0,1,0,0,0,0.0000,-2420582.3535,-2726463.3642,5220299.8051,13,0.2325,1.4886,-1.2745,0.0156,0.2510,0.2038,0.0176,-1.2822,0.0009,-0.0025,-0.0346,0.0000,0.0000,0.0000,0.0000,0.0755,0.0755,0.0000,-0.0409,0.0000,0.0000
236.5130,48.3900,0,8,albh_PAN,6.5110,4.3720,0.0680,0.0570,1,0,1,0,0,0,0.0000,-2332979.5871,-3526485.8735,4760825.0431,5,6.7531,4.9200,0.2421,0.5480,2.9475,2.6223,0.0696,-0.2520,-3.8753,-2.0457,-0.6579,0.0000,0.0000,0.0000,0.0000,0.3208,0.3208,0.0000,0.3371,0.0000,0.0000
297.6600,82.4940,0,47,alrt_PAN,-2.5460,-1.8080,0.1720,0.2200,1,0,1,0,0,0,0.0000,386131.8000,-736721.9233,6312883.2163,47,-2.4798,-0.6411,0.0662,1.1669,-2.4642,-0.7862,0.0173,-0.1431,-0.0017,-0.0020,-0.0008,0.0000,0.0000,0.0000,0.0000,-0.0142,-0.0142,0.0000,0.0150,0.0000,0.0000
237.8580,48.1740,0,13,arli_PAN,4.2960,3.0500,0.0890,0.0780,1,0,1,0,0,0,0.0000,-2259093.9074,-3595446.7562,4744850.7671,12,4.4172,3.3432,0.1212,0.2932,3.4324,2.8212,0.6776,0.0976,-1.6624,-0.6196,-0.0028,0.0000,0.0000,0.0000,0.0000,0.0943,0.0943,0.0000,-0.0915,0.0000,0.0000
237.3300,42.1810,0,4,ashl_PAN,-1.9500,6.7510,0.0980,0.0840,1,0,1,0,0,0,0.0000,-2547017.7720,-3971961.0150,4275579.2153,8,-2.4987,6.5821,-0.5487,-0.1689,-3.4771,6.0508,-0.2606,-0.6161,-0.7179,0.0848,-0.1254,0.0000,0.0000,0.0000,0.0000,-0.0007,-0.0007,0.0000,0.1260,0.0000,0.0000
242.8460,34.4680,0,28,avry_PAN,-12.3380,13.3290,0.1940,0.1090,1,0,1,0,0,0,0.0000,-2395827.9845,-4670997.5090,3603629.0043,28,-12.9153,14.0650,-0.5773,0.7360,-12.4044,14.4642,0.5264,0.3925,-0.0155,0.0067,-0.0109,0.0000,0.0000,0.0000,0.0000,-0.3458,-0.3458,0.0000,0.3566,0.0000,0.0000
234.8650,48.8350,0,8,bamf_PAN,10.1030,6.8710,0.0850,0.0840,1,0,1,0,0,0,0.0000,-2412079.9884,-3427590.0446,4793521.4694,5,9.7612,7.2191,-0.3418,0.3481,2.8057,2.4717,0.5985,0.0029,-7.5541,-4.7504,-2.4454,0.0000,0.0000,0.0000,0.0000,2.5858,2.5858,0.0000,-0.1403,0.0000,0.0000
242.7950,40.4130,0,17,bamo_PAN,-3.0240,0.8580,0.0570,0.0700,1,0,1,0,0,0,0.0000,-2216440.3074,-4311800.8313,4127967.7102,16,-3.3168,0.4302,-0.2928,-0.4278,-3.0212,0.0311,0.3973,-0.4165,-0.1018,0.0174,-0.0080,0.0000,0.0000,0.0000,0.0000,-0.1059,-0.1059,0.0000,0.1139,0.0000,0.0000
236.5710,48.4290,0,8,bces_PAN,6.1920,3.9210,0.1720,0.1040,1,0,1,0,0,0,0.0000,-2327622.7712,-3526140.4061,4763702.0828,5,6.4764,4.8011,0.2844,0.8801,2.9419,2.6276,0.0398,-0.2838,-3.5743,-1.8897,-0.5308,0.0000,0.0000,0.0000,0.0000,-0.2567,-0.2567,0.0000,0.7875,0.0000,0.0000
237.3430,49.1040,0,14,bclc_PAN,4.0350,2.6880,0.0960,0.1270,1,0,1,0,0,0,0.0000,-2249461.0030,-3509686.6748,4813146.1750,11,3.9759,3.3342,-0.0591,0.6462,3.2524,2.7145,0.7305,0.2201,-1.4540,-0.8398,-0.0032,0.0000,0.0000,0.0000,0.0000,0.1560,0.1560,0.0000,-0.1528,0.0000,0.0000
236.8530,49.1150,0,14,bcli_PAN,5.5790,3.4500,0.0900,0.0890,1,0,1,0,0,0,0.0000,-2278888.3080,-3489547.1672,4813946.4173,11,4.3997,3.5347,-1.1793,0.0847,3.2277,2.5082,0.6223,0.0920,-1.7942,-1.1185,-0.0651,0.0000,0.0000,0.0000,0.0000,0.1938,0.1938,0.0000,-0.1287,0.0000,0.0000
237.4610,49.2210,0,14,bcmr_PAN,4.1070,2.0250,0.0950,0.1070,1,0,1,0,0,0,0.0000,-2236936.8553,-3506018.8736,4821648.7455,11,3.6636,3.2090,-0.4434,1.1840,3.1738,2.7641,0.8120,0.3200,-1.3018,-0.7650,0.0123,0.0000,0.0000,0.0000,0.0000,0.1763,0.1763,0.0000,-0.1885,0.0000,0.0000
233.1570,50.5440,0,14,bcov_PAN,2.7260,2.8150,0.0650,0.1090,1,0,1,0,0,0,0.0000,-2426331.1789,-3238274.2404,4916385.7066,11,2.2505,3.2728,-0.4755,0.4578,2.1284,0.9477,0.8616,-0.6348,-0.9837,-1.6904,-0.7099,0.0000,0.0000,0.0000,0.0000,1.1152,1.1152,0.0000,-0.4053,0.0000,0.0000
232.6250,50.6860,0,14,bcph_PAN,2.3890,2.1940,0.0880,0.1570,1,0,1,0,0,0,0.0000,-2448890.0730,-3205913.3931,4926399.1097,11,1.4473,2.3672,-0.9417,0.1732,2.0214,0.7226,0.8197,-1.1656,-0.2456,-0.4790,-0.3321,0.0000,0.0000,0.0000,0.0000,0.7118,0.7118,0.0000,-0.3797,0.0000,0.0000
