other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,strain_rate,strain_rate_sig,strain_rate_flag,area_steradians,area_plate_carree,block_label,euler_lon_err,euler_lat_err,euler_rate,euler_rate_err
0,0,0,0,0,0,MohawkValley     ,239.5820,39.9250,62.5519,0,-42.6744,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,0,0.0000,0.0000,1.5122,0.0000
0,0,0,0,0,0,SierraBlock      ,240.5970,36.7460,209.1264,1,-9.7419,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,1,0.0000,0.0000,0.1399,0.0000
0,0,0,0,0,0,J                ,238.8910,41.6940,61.6464,0,-43.9182,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,2,0.0000,0.0000,1.1499,0.0000
0,0,0,0,0,0,H                ,240.5120,44.0180,62.7854,0,-45.1689,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,3,0.0000,0.0000,0.5573,0.0000
0,0,0,0,0,0,C                ,237.6600,45.2130,61.2564,0,-43.7991,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,4,0.0000,0.0000,1.0097,0.0000
0,0,0,0,0,0,PP               ,236.2990,47.8140,209.7538,0,60.4993,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,5,0.0000,0.0000,0.1064,0.0000
0,0,0,0,0,0,V                ,237.3840,46.1770,101.1967,0,-13.0719,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,6,0.0000,0.0000,0.0731,0.0000
0,0,0,0,0,0,KK               ,237.4070,47.4510,62.2648,0,-45.0643,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,7,0.0000,0.0000,0.5111,0.0000
0,0,0,0,0,0,daisybanks       ,236.3880,43.3910,60.1633,0,-43.3307,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,8,0.0000,0.0000,1.5143,0.0000
0,0,0,0,0,0,U                ,238.2100,44.0010,60.3277,0,-43.7860,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,9,0.0000,0.0000,1.2895,0.0000
