lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_up_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi,model_up_vel,model_up_vel_residual,model_up_vel_rotation,model_up_elastic_segment,model_up_vel_block_strain_rate,model_up_vel_mogi
243.0190,34.9040,0,35,SOAP_GPS,-10.5210,11.5440,0.2650,0.2720,1,0,1,0,0,0,0.0000,-2369203.1832,-4653637.4243,3643471.7594,33,-9.3569,11.3096,1.1641,-0.2344,-8.9555,10.7083,0.4141,-0.5980,-0.0127,-0.0033,-0.0134,0.0000,0.0000,0.0000,0.0000,0.2432,0.2432,0.0000,-0.2298,0.0000,0.0000
243.5790,34.7850,0,37,HECT_GPS,-5.3480,3.2130,0.2980,0.3080,1,0,1,0,0,0,0.0000,-2326968.9687,-4683337.7783,3632618.0827,34,-5.4632,4.6227,-0.1152,1.4097,-2.3548,0.3384,3.1221,-4.2821,-0.0136,-0.0022,-0.0119,0.0000,0.0000,0.0000,0.0000,-0.7259,-0.7259,0.0000,0.7378,0.0000,0.0000
244.6730,34.8060,0,14,0809_GPS,-1.4340,0.6320,0.4620,0.3760,1,0,1,0,0,0,0.0000,-2236557.3306,-4725708.5367,3634534.5774,12,-1.3572,0.5106,0.0768,-0.1214,-0.5563,-0.2294,0.8172,-0.7397,-0.0164,-0.0004,-0.0093,0.0000,0.0000,0.0000,0.0000,-0.0180,-0.0180,0.0000,0.0273,0.0000,0.0000
243.5850,35.0720,0,37,0803_GPS,-6.1810,2.0630,0.3250,0.3400,1,0,1,0,0,0,0.0000,-2318354.4593,-4667226.3746,3658767.8296,34,-3.7761,2.3283,2.4049,0.2653,-2.8443,0.3469,0.9470,-1.9795,-0.0152,-0.0019,-0.0119,0.0000,0.0000,0.0000,0.0000,-0.2919,-0.2919,0.0000,0.3038,0.0000,0.0000
245.3960,34.8070,0,14,NEED_GPS,-2.7140,1.2860,0.3310,0.2930,1,0,1,0,0,0,0.0000,-2176721.9960,-4753496.3881,3634625.8269,12,-1.1142,0.2763,1.5998,-1.0097,-0.5580,-0.2494,0.5740,-0.5263,-0.0177,0.0006,-0.0079,0.0000,0.0000,0.0000,0.0000,-0.0013,-0.0013,0.0000,0.0091,0.0000,0.0000
242.3860,35.3660,0,35,0806_GPS,-7.9980,11.5290,0.4030,0.3430,1,0,1,0,0,0,0.0000,-2406774.6252,-4600996.6979,3685460.1817,33,-8.9352,11.7061,-0.9372,0.1771,-8.0532,11.7452,0.8950,0.0435,-0.0130,-0.0044,-0.0156,0.0000,0.0000,0.0000,0.0000,0.2285,0.2285,0.0000,-0.2128,0.0000,0.0000
242.2940,35.5130,0,39,PAOS_GPS,-9.0850,11.2620,0.4120,0.4060,1,0,1,0,0,0,0.0000,-2409755.2023,-4588739.6659,3698770.0125,36,-9.5809,11.2825,-0.4959,0.0205,-8.5873,13.0057,1.0071,1.7277,-0.0136,-0.0045,-0.0161,0.0000,0.0000,0.0000,0.0000,0.3830,0.3830,0.0000,-0.3670,0.0000,0.0000
243.1090,35.3320,0,36,MOJ1_GPS,-5.0070,7.3750,0.1180,0.1180,1,0,1,0,0,0,0.0000,-2349514.5660,-4632949.7210,3682378.2599,32,-6.7191,7.3159,-1.7121,-0.0591,-8.1874,9.9387,-1.4529,2.6253,-0.0154,-0.0026,-0.0134,0.0000,0.0000,0.0000,0.0000,0.3285,0.3285,0.0000,-0.3151,0.0000,0.0000
243.1120,35.3310,0,36,MOJM_GPS,-5.0070,7.3750,0.1180,0.1180,1,0,1,0,0,0,0.0000,-2349301.0476,-4633130.0558,3682287.5955,32,-6.6962,7.2699,-1.6892,-0.1051,-8.1896,9.9328,-1.4780,2.6655,-0.0154,-0.0025,-0.0134,0.0000,0.0000,0.0000,0.0000,0.3322,0.3322,0.0000,-0.3189,0.0000,0.0000
242.1880,35.6470,0,39,INYO_GPS,-9.4950,11.4160,0.2770,0.2810,1,0,1,0,0,0,0.0000,-2414197.7927,-4576609.9276,3710881.5731,36,-10.4949,11.0517,-0.9999,-0.3643,-10.5918,11.7143,-0.0829,0.6673,-0.0140,-0.0047,-0.0166,0.0000,0.0000,0.0000,0.0000,0.0035,0.0035,0.0000,0.0130,0.0000,0.0000
244.5770,35.5410,0,14,0801_GPS,-1.8920,1.6260,0.3640,0.4570,1,0,1,0,0,0,0.0000,-2224272.3019,-4679457.6912,3701302.4606,12,-1.4426,0.3581,0.4494,-1.2679,-0.5264,-0.2268,0.9369,-0.5855,-0.0207,0.0006,-0.0094,0.0000,0.0000,0.0000,0.0000,-0.0367,-0.0367,0.0000,0.0461,0.0000,0.0000
243.7000,35.8670,0,21,0915_GPS,-3.5370,2.5580,0.3130,0.3250,1,0,1,0,0,0,0.0000,-2286267.2443,-4625910.2446,3730722.1764,17,-3.4751,0.3915,0.0619,-2.1665,-3.3861,-0.5545,0.1100,-0.9456,-0.0210,-0.0003,-0.0116,0.0000,0.0000,0.0000,0.0000,-0.0025,-0.0025,0.0000,0.0141,0.0000,0.0000
242.6710,35.9780,0,38,0914_GPS,-6.2770,5.7780,0.2800,0.2750,1,0,1,0,0,0,0.0000,-2365650.2057,-4577676.8962,3740711.8039,35,-6.6996,6.1722,-0.4226,0.3942,-8.0696,5.4962,-1.3516,-0.6733,-0.0184,-0.0026,-0.0150,0.0000,0.0000,0.0000,0.0000,-0.5268,-0.5268,0.0000,0.5418,0.0000,0.0000
243.5840,36.3040,0,21,0912_GPS,-2.6030,2.0230,0.2770,0.3080,1,0,1,0,0,0,0.0000,-2282902.4279,-4595654.3236,3769969.4036,17,-3.6049,0.3625,-1.0019,-1.6605,-3.3603,-0.5531,0.2692,-0.9160,-0.0246,0.0004,-0.0118,0.0000,0.0000,0.0000,0.0000,0.0111,0.0111,0.0000,0.0007,0.0000,0.0000
