lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_up_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi,model_up_vel,model_up_vel_residual,model_up_vel_rotation,model_up_elastic_segment,model_up_vel_block_strain_rate,model_up_vel_mogi
234.5990,46.7000,0,0,NGH1_ACO,28.2000,8.6000,0.4500,0.4800,1,0,1,0,0,0,0.0000,-2529731.1063,-3559545.9027,4634052.7573,5,24.4524,16.7868,-3.7476,8.1868,3.1888,8.8248,0.5353,0.2476,-21.7989,-8.2095,2.3155,0.0000,0.0000,0.0000,0.0000,-2.2913,-2.2913,0.0000,-0.0242,0.0000,0.0000
235.0340,45.3020,0,0,NCL1_ACO,20.8000,23.2000,0.6500,0.6800,1,0,1,0,0,0,0.0000,-2566681.4114,-3670234.4923,4526132.6500,5,19.8033,15.4542,-0.9967,-7.7458,0.8022,8.2880,0.3670,0.1451,-19.3681,-7.3114,2.7561,0.0000,0.0000,0.0000,0.0000,-2.7493,-2.7493,0.0000,-0.0068,0.0000,0.0000
234.8060,44.4290,0,0,NNP1_ACO,20.5000,19.8000,0.4800,0.4900,1,0,1,0,0,0,0.0000,-2620711.8899,-3715921.9964,4457369.6693,5,18.0453,18.6101,-2.4547,-1.1899,-0.7415,8.5694,0.3905,0.1154,-19.1773,-10.1561,3.0443,0.0000,0.0000,0.0000,0.0000,-3.0417,-3.0417,0.0000,-0.0026,0.0000,0.0000
234.8960,43.5730,0,0,NGH1_ACO,22.1000,16.8000,0.9200,0.9700,1,0,1,0,0,0,0.0000,-2652873.6929,-3774097.3545,4388940.8506,5,14.5667,16.7571,-7.5333,-0.0429,-2.2224,8.4583,0.4808,0.0708,-17.2699,-8.3695,2.2342,0.0000,0.0000,0.0000,0.0000,-2.2330,-2.2330,0.0000,-0.0012,0.0000,0.0000
224.7720,59.5280,0,14,ab44_PAN,2.6710,5.9470,0.0890,0.1060,1,0,1,0,0,0,0.0000,-2292344.5757,-2274172.7061,5487954.6564,12,-0.8366,0.9665,-3.5076,-4.9805,0.4364,0.3099,1.2721,-0.6618,0.0008,0.0052,-0.0106,0.0000,0.0000,0.0000,0.0000,-0.3250,-0.3250,0.0000,0.3356,0.0000,0.0000
225.3530,56.2450,0,46,ab48_PAN,-1.9630,2.8320,0.1440,0.3800,1,0,1,0,0,0,0.0000,-2486300.5038,-2517127.0725,5294028.0097,43,-2.5934,4.6105,-0.6304,1.7785,-7.2541,-1.7386,-4.6657,-6.3567,0.0050,0.0077,-0.0151,0.0000,0.0000,0.0000,0.0000,-1.4019,-1.4019,0.0000,1.4169,0.0000,0.0000
226.9320,55.5800,0,14,ab49_PAN,1.0700,3.7340,0.2070,0.1180,1,0,1,0,0,0,0.0000,-2457791.2162,-2629394.9631,5252608.4879,12,0.0365,2.3451,-1.0335,-1.3889,0.2856,0.2515,0.2447,-2.1042,0.0044,0.0106,-0.0189,0.0000,0.0000,0.0000,0.0000,0.0422,0.0422,0.0000,-0.0233,0.0000,0.0000
225.4550,58.4170,0,14,ab50_PAN,-0.3800,1.0740,0.1030,0.1250,1,0,1,0,0,0,0.0000,-2339289.0466,-2376740.9985,5424313.8224,12,-0.3906,1.2831,-0.0106,0.2091,0.3947,0.2915,0.7840,-0.9979,0.0013,0.0063,-0.0123,0.0000,0.0000,0.0000,0.0000,-0.1435,-0.1435,0.0000,0.1558,0.0000,0.0000
227.0860,56.7980,0,14,ab51_PAN,-3.4730,0.2690,0.1340,0.1690,1,0,1,0,0,0,0.0000,-2374137.4019,-2553624.5420,5327928.7492,12,0.2112,1.4195,3.6842,1.1505,0.3357,0.2473,0.1228,-1.1813,0.0017,0.0091,-0.0166,0.0000,0.0000,0.0000,0.0000,0.0551,0.0551,0.0000,-0.0385,0.0000,0.0000
228.4010,55.0690,0,14,ais6_PAN,1.5070,1.4730,0.3080,0.3570,1,0,1,0,0,0,0.0000,-2420582.3535,-2726463.3642,5220299.8051,12,0.2392,1.4813,-1.2678,0.0083,0.2697,0.2116,0.0277,-1.2843,0.0028,0.0145,-0.0235,0.0000,0.0000,0.0000,0.0000,0.0659,0.0659,0.0000,-0.0424,0.0000,0.0000
