other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,strain_rate,strain_rate_sig,strain_rate_flag,area_steradians,area_plate_carree,block_label,euler_lon_err,euler_lat_err,euler_rate,euler_rate_err
0,0,0,0,0,0,MohawkValley     ,239.5820,39.9250,62.6514,0,-42.7481,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,0,0.0000,0.0000,1.4680,0.0000
0,0,0,0,0,0,SierraBlock      ,240.5970,36.7460,210.7467,1,-7.0467,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,1,0.0000,0.0000,0.1459,0.0000
0,0,0,0,0,0,J                ,238.8910,41.6940,61.6257,0,-43.9003,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,2,0.0000,0.0000,1.1587,0.0000
0,0,0,0,0,0,H                ,240.5120,44.0180,62.7404,0,-45.1400,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,3,0.0000,0.0000,0.5647,0.0000
0,0,0,0,0,0,C                ,237.6600,45.2130,60.7082,0,-44.0790,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,4,0.0000,0.0000,1.1888,0.0000
0,0,0,0,0,0,PP               ,236.2990,47.8140,216.5193,0,58.3314,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,5,0.0000,0.0000,0.1465,0.0000
0,0,0,0,0,0,V                ,237.3840,46.1770,100.4625,0,-16.4467,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,6,0.0000,0.0000,0.0773,0.0000
0,0,0,0,0,0,KK               ,237.4070,47.4510,62.9122,0,-45.3102,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,7,0.0000,0.0000,0.4493,0.0000
0,0,0,0,0,0,daisybanks       ,236.3880,43.3910,60.2171,0,-43.4611,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,8,0.0000,0.0000,1.4618,0.0000
0,0,0,0,0,0,U                ,238.2100,44.0010,60.2434,0,-43.7986,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,9,0.0000,0.0000,1.3867,0.0000
0,0,0,0,0,0,wnv              ,241.7500,40.1450,64.0847,0,-44.8765,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,10,0.0000,0.0000,0.5871,0.0000
0,0,0,0,0,0,salish           ,236.6175,48.8082,230.7420,0,53.6765,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,11,0.0000,0.0000,0.3552,0.0000
0,0,0,0,0,0,X                ,238.4760,47.7610,61.8333,0,-44.6421,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,12,0.0000,0.0000,0.4830,0.0000
0,0,0,0,0,0,NorthAmerica     ,254.0070,38.0010,55.9586,1,-48.5697,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,13,0.0000,0.0000,0.0212,0.0000
0,0,0,0,0,0,nitinat          ,235.4270,45.8800,194.9553,0,48.3780,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,14,0.0000,0.0000,0.1382,0.0000
