other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,strain_rate,strain_rate_sig,strain_rate_flag,area_steradians,area_plate_carree,block_label,euler_lon_err,euler_lat_err,euler_rate,euler_rate_err
0,0,0,0,0,0,MohawkValley     ,239.5820,39.9250,62.6252,0,-42.7156,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,0,0.0000,0.0000,1.4841,0.0000
0,0,0,0,0,0,SierraBlock      ,240.5970,36.7460,210.8346,1,-6.8327,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,1,0.0000,0.0000,0.1465,0.0000
0,0,0,0,0,0,J                ,238.8910,41.6940,61.6083,0,-43.8932,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,2,0.0000,0.0000,1.1647,0.0000
0,0,0,0,0,0,H                ,240.5120,44.0180,62.7327,0,-45.1486,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,3,0.0000,0.0000,0.5666,0.0000
0,0,0,0,0,0,C                ,237.6600,45.2130,60.6670,0,-44.1076,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,4,0.0000,0.0000,1.2114,0.0000
0,0,0,0,0,0,PP               ,236.2990,47.8140,222.2612,0,56.2422,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,5,0.0000,0.0000,0.1993,0.0000
0,0,0,0,0,0,V                ,237.3840,46.1770,144.3479,0,32.3242,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,6,0.0000,0.0000,0.0599,0.0000
0,0,0,0,0,0,KK               ,237.4070,47.4510,65.4368,0,-44.1684,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,7,0.0000,0.0000,0.3076,0.0000
0,0,0,0,0,0,daisybanks       ,236.3880,43.3910,60.2854,0,-43.5285,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,8,0.0000,0.0000,1.4278,0.0000
0,0,0,0,0,0,U                ,238.2100,44.0010,60.2383,0,-43.7967,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,9,0.0000,0.0000,1.3912,0.0000
0,0,0,0,0,0,wnv              ,241.7500,40.1450,64.0688,0,-44.8619,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,10,0.0000,0.0000,0.5884,0.0000
0,0,0,0,0,0,salish           ,236.6175,48.8082,230.6328,0,53.7604,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,11,0.0000,0.0000,0.3497,0.0000
0,0,0,0,0,0,X                ,238.4760,47.7610,61.9698,0,-44.4523,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,12,0.0000,0.0000,0.4500,0.0000
0,0,0,0,0,0,NorthAmerica     ,254.0070,38.0010,56.0277,1,-48.6499,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,13,0.0000,0.0000,0.0213,0.0000
0,0,0,0,0,0,nitinat          ,235.4270,45.8800,73.1675,0,-38.5574,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,14,0.0000,0.0000,0.2724,0.0000
0,0,0,0,0,0,D                ,239.7320,46.4920,63.4123,0,-43.8077,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,15,0.0000,0.0000,0.4639,0.0000
0,0,0,0,0,0,cnv              ,242.7450,39.9510,63.0281,0,-51.3724,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,16,0.0000,0.0000,0.1440,0.0000
0,0,0,0,0,0,JDF              ,233.7880,46.8830,66.8836,1,-32.4083,1,1.0990,0.0100,1,0,0,0,0,-1.0000,-1.0000,17,0.0000,0.0000,1.0925,0.0000
0,0,0,0,0,0,eelriver         ,235.2600,41.4070,60.2600,0,-41.5696,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,18,0.0000,0.0000,3.4660,0.0000
0,0,0,0,0,0,carson           ,240.6520,38.7620,62.2711,0,-41.4606,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,19,0.0000,0.0000,2.0758,0.0000
