lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_up_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi,model_up_vel,model_up_vel_residual,model_up_vel_rotation,model_up_elastic_segment,model_up_vel_block_strain_rate,model_up_vel_mogi
234.5990,46.7000,0,0,NGH1_ACO,28.2000,8.6000,4.5000,4.8000,1,0,1,0,0,0,0.0000,-2529731.1063,-3559545.9027,4634052.7573,14,25.7243,12.5415,-2.4757,3.9415,1.3065,5.8057,0.3663,0.4220,-24.7842,-7.1578,2.6248,0.0000,0.0000,0.0000,0.0000,-2.5225,-2.5225,0.0000,-0.1023,0.0000,0.0000
235.0340,45.3020,0,0,NCL1_ACO,20.8000,23.2000,6.5000,6.8000,1,0,1,0,0,0,0.0000,-2566681.4114,-3670234.4923,4526132.6500,14,19.5251,15.8740,-1.2749,-7.3260,2.3229,6.0085,0.3696,-0.1353,-17.5719,-9.7303,2.3208,0.0000,0.0000,0.0000,0.0000,-2.3377,-2.3377,0.0000,0.0168,0.0000,0.0000
234.8060,44.4290,0,0,NNP1_ACO,20.5000,19.8000,4.8000,4.9000,1,0,1,0,0,0,0.0000,-2620711.8899,-3715921.9964,4457369.6693,8,17.4570,18.1410,-3.0430,-1.6590,2.3694,11.1102,0.6416,2.0125,-15.7292,-9.0433,2.4988,0.0000,0.0000,0.0000,0.0000,-1.8239,-1.8239,0.0000,-0.6750,0.0000,0.0000
234.8960,43.5730,0,0,NGH1_ACO,22.1000,16.8000,9.2000,9.7000,1,0,1,0,0,0,0.0000,-2652873.6929,-3774097.3545,4388940.8506,8,15.5400,16.5923,-6.5600,-0.2077,-0.0382,10.9259,0.5186,0.2790,-16.0969,-5.9453,2.1533,0.0000,0.0000,0.0000,0.0000,-2.1325,-2.1325,0.0000,-0.0208,0.0000,0.0000
224.7720,59.5280,0,14,ab44_PAN,2.6710,5.9470,0.0890,0.1060,1,0,1,0,0,0,0.0000,-2292344.5757,-2274172.7061,5487954.6564,11,-0.7396,1.1297,-3.4106,-4.8173,0.6248,0.5395,1.3641,-0.5881,0.0004,-0.0021,-0.0128,0.0000,0.0000,0.0000,0.0000,-0.3554,-0.3554,0.0000,0.3682,0.0000,0.0000
225.3530,56.2450,0,46,ab48_PAN,-1.9630,2.8320,0.1440,0.3800,1,0,1,0,0,0,0.0000,-2486300.5038,-2517127.0725,5294028.0097,46,-2.5275,4.6248,-0.5645,1.7928,-7.4191,-1.9378,-4.8966,-6.5620,0.0050,-0.0005,-0.0210,0.0000,0.0000,0.0000,0.0000,-1.4783,-1.4783,0.0000,1.4992,0.0000,0.0000
226.9320,55.5800,0,14,ab49_PAN,1.0700,3.7340,0.2070,0.1180,1,0,1,0,0,0,0.0000,-2457791.2162,-2629394.9631,5252608.4879,11,0.1891,2.5603,-0.8809,-1.1737,0.4492,0.4661,0.2560,-2.0928,0.0040,-0.0014,-0.0263,0.0000,0.0000,0.0000,0.0000,0.0469,0.0469,0.0000,-0.0206,0.0000,0.0000
225.4550,58.4170,0,14,ab50_PAN,-0.3800,1.0740,0.1030,0.1250,1,0,1,0,0,0,0.0000,-2339289.0466,-2376740.9985,5424313.8224,11,-0.2694,1.4682,0.1106,0.3942,0.5766,0.5164,0.8452,-0.9496,0.0008,-0.0022,-0.0154,0.0000,0.0000,0.0000,0.0000,-0.1571,-0.1571,0.0000,0.1725,0.0000,0.0000
227.0860,56.7980,0,14,ab51_PAN,-3.4730,0.2690,0.1340,0.1690,1,0,1,0,0,0,0.0000,-2374137.4019,-2553624.5420,5327928.7492,11,0.3715,1.6334,3.8445,1.3644,0.5097,0.4609,0.1374,-1.1695,0.0009,-0.0030,-0.0214,0.0000,0.0000,0.0000,0.0000,0.0582,0.0582,0.0000,-0.0369,0.0000,0.0000
228.4010,55.0690,0,14,ais6_PAN,1.5070,1.4730,0.3080,0.3570,1,0,1,0,0,0,0.0000,-2420582.3535,-2726463.3642,5220299.8051,11,0.4011,1.6934,-1.1059,0.2204,0.4334,0.4159,0.0308,-1.2738,0.0015,-0.0038,-0.0322,0.0000,0.0000,0.0000,0.0000,0.0727,0.0727,0.0000,-0.0405,0.0000,0.0000
236.5130,48.3900,0,8,albh_PAN,6.5110,4.3720,0.0680,0.0570,1,0,1,0,0,0,0.0000,-2332979.5871,-3526485.8735,4760825.0431,5,7.1007,4.5767,0.5897,0.2047,3.1133,2.7740,-0.2256,0.2158,-3.7618,-2.0185,-0.6665,0.0000,0.0000,0.0000,0.0000,1.0287,1.0287,0.0000,-0.3622,0.0000,0.0000
297.6600,82.4940,0,47,alrt_PAN,-2.5460,-1.8080,0.1720,0.2200,1,0,1,0,0,0,0.0000,386131.8000,-736721.9233,6312883.2163,47,-2.4896,-0.6397,0.0564,1.1683,-2.4740,-0.7843,0.0172,-0.1426,-0.0016,-0.0019,-0.0008,0.0000,0.0000,0.0000,0.0000,-0.0142,-0.0142,0.0000,0.0149,0.0000,0.0000
237.8580,48.1740,0,13,arli_PAN,4.2960,3.0500,0.0890,0.0780,1,0,1,0,0,0,0.0000,-2259093.9074,-3595446.7562,4744850.7671,12,4.3935,3.3123,0.0975,0.2623,4.2709,3.8402,1.5348,1.1743,-1.6574,-0.6463,-0.0133,0.0000,0.0000,0.0000,0.0000,0.2253,0.2253,0.0000,-0.2120,0.0000,0.0000
237.3300,42.1810,0,4,ashl_PAN,-1.9500,6.7510,0.0980,0.0840,1,0,1,0,0,0,0.0000,-2547017.7720,-3971961.0150,4275579.2153,8,-2.5775,6.5851,-0.6275,-0.1659,-3.7324,5.9336,-0.2091,-0.6060,-0.9458,-0.0455,-0.1363,0.0000,0.0000,0.0000,0.0000,0.0152,0.0152,0.0000,0.1210,0.0000,0.0000
