lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,mesh_idx,strike_slip_rate,dip_slip_rate,strike_slip_rate_kinematic,dip_slip_rate_kinematic,strike_slip_coupling,dip_slip_coupling
232.06,49.636,0.0,232.155,49.468,0.0,232.174,49.619,-3.1,0,-1.1750275446063554,23.16447362176995,-3.730286476617282,37.64782746682655,0.321691084607873,0.6147433093747431
232.411,49.299,-3.8,232.173,49.109,0.0,232.41500000000002,49.088,-2.1,0,1.446606652671628,25.511434782160105,3.565722586308466,35.71412127295122,0.4010800927852547,0.7138814244125585
234.663,43.131,0.0,234.711,42.959,0.0,234.957,43.141,-3.6,0,-1.8986557545644935,21.186382056837548,-3.9294450406638504,24.479537861779704,0.482087129402365,0.8652735037262672
235.01600000000002,40.553,0.0,235.0,40.375,0.0,235.122,40.45,-3.7,0,1.899631594963106,11.455347856584638,3.205611328725979,25.165320183164766,0.6967697040309845,0.452231599588588
234.215,47.089,-2.3,234.514,47.122,-4.8,234.43099999999998,47.282,-4.8,0,0.05586295144266417,31.341449632079424,-1.640140659804885,32.68986847361582,-0.03604437634935293,0.9586913949569815
232.16500000000002,49.288,0.0,232.173,49.109,0.0,232.411,49.299,-3.8,0,-7.636692007522149,21.315349480741354,-19.498370873212565,30.288143333340784,0.3934830555146746,0.7034428340991448
235.189,41.661,-4.5,234.916,41.672,-2.1,234.963,41.518,-2.0,0,8.126357356090999,10.609073172355247,11.522021398924906,15.170756218132283,0.7155632335283135,0.7010075722331574
235.236,41.503,-4.6,235.189,41.661,-4.5,234.963,41.518,-2.0,0,6.3335792203177785,11.475704345872236,9.114107049892738,16.918296026086978,0.7083566863855536,0.6793162118793507
235.248,41.188,-4.2,235.276,41.348,-4.6,235.05200000000002,41.214,-2.0,0,4.180658220474112,13.613949891080063,5.779607889132677,19.82154069176272,0.7487731481851089,0.6864332781447053
234.951,42.568,-2.7,234.80700000000002,42.44,0.0,235.09699999999998,42.386,-4.2,0,3.6982952676151455,9.582699463572038,9.05835185122757,12.369186608349054,0.4295768869307116,0.7816468144605647
235.269,40.744,-6.5,235.312,40.919,-6.5,235.058,40.907,0.0,0,-0.6434048684677472,14.853833785357864,-0.5647292382722071,23.00003331259471,0.7376638237026214,0.643754537382055
234.047,47.495,-2.2,234.162,47.276,-2.5,234.334,47.443,-4.7,0,0.4107126932672603,30.8070824463701,-7.628642932124812,32.2060857656745,-0.050286508738561206,0.9565302770019151
235.269,40.744,-6.5,235.058,40.907,0.0,235.055,40.729,0.0,0,3.2945816238955405,14.57811620647342,4.70580742421609,23.071795356301237,0.7508093716264597,0.6303341767995269
233.725,47.955,-2.3,233.893,48.09,-4.5,233.588,48.137,-2.0,0,-0.3250558744777085,30.44707333466559,-2.67750123413569,33.90869186156173,0.13368582847320848,0.8977235716818565
234.162,47.276,-2.5,234.215,47.089,-2.3,234.43099999999998,47.282,-4.8,0,0.257547232614543,31.39656908105969,-4.750947175510561,32.62610858664459,-0.043417080786400594,0.962247409486924
235.09300000000002,42.2,-4.3,234.862,42.16,-2.0,234.923,42.001,-2.4,0,3.9958143181975445,11.02602711776698,7.5714200393436215,15.025269207653281,0.5512513069320721,0.738195956402601
