other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,strain_rate,strain_rate_sig,strain_rate_flag,area_steradians,area_plate_carree,block_label,euler_lon_err,euler_lat_err,euler_rate,euler_rate_err
0,0,0,0,0,0,MohawkValley     ,239.5820,39.9250,62.6403,0,-42.7439,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,0,0.0000,0.0000,1.4716,0.0000
0,0,0,0,0,0,SierraBlock      ,240.5970,36.7460,210.4827,1,-7.4826,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,1,0.0000,0.0000,0.1450,0.0000
0,0,0,0,0,0,J                ,238.8910,41.6940,61.6054,0,-43.8869,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,2,0.0000,0.0000,1.1661,0.0000
0,0,0,0,0,0,H                ,240.5120,44.0180,62.7493,0,-45.1635,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,3,0.0000,0.0000,0.5611,0.0000
0,0,0,0,0,0,C                ,237.6600,45.2130,60.8424,0,-44.0090,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,4,0.0000,0.0000,1.1395,0.0000
0,0,0,0,0,0,PP               ,236.2990,47.8140,61.6201,0,-44.1575,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,5,0.0000,0.0000,0.3909,0.0000
0,0,0,0,0,0,V                ,237.3840,46.1770,132.1829,0,19.7452,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,6,0.0000,0.0000,0.0561,0.0000
0,0,0,0,0,0,KK               ,237.4070,47.4510,59.9654,0,-46.2485,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,7,0.0000,0.0000,0.9115,0.0000
0,0,0,0,0,0,daisybanks       ,236.3880,43.3910,60.2165,0,-43.4630,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,8,0.0000,0.0000,1.4608,0.0000
0,0,0,0,0,0,U                ,238.2100,44.0010,60.2366,0,-43.7960,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,9,0.0000,0.0000,1.3910,0.0000
0,0,0,0,0,0,wnv              ,241.7500,40.1450,64.0797,0,-44.8895,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,10,0.0000,0.0000,0.5849,0.0000
0,0,0,0,0,0,NorthAmerica     ,254.0070,38.0010,60.3385,1,-45.6895,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,11,0.0000,0.0000,0.0259,0.0000
0,0,0,0,0,0,X                ,238.4760,47.7610,60.4220,0,-46.1699,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,12,0.0000,0.0000,1.1154,0.0000
0,0,0,0,0,0,WVanIs           ,234.2910,49.4470,229.5964,0,54.1247,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,13,0.0000,0.0000,0.5237,0.0000
0,0,0,0,0,0,nitinat          ,235.4270,45.8800,222.3475,0,47.8978,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,14,0.0000,0.0000,0.3672,0.0000
0,0,0,0,0,0,D                ,239.7320,46.4920,63.2443,0,-43.9336,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,15,0.0000,0.0000,0.4733,0.0000
0,0,0,0,0,0,cnv              ,242.7450,39.9510,62.9714,0,-51.3564,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,16,0.0000,0.0000,0.1439,0.0000
0,0,0,0,0,0,JDF              ,233.7880,46.8830,66.8736,1,-32.4169,1,1.0990,0.0100,1,0,0,0,0,-1.0000,-1.0000,17,0.0000,0.0000,1.0933,0.0000
0,0,0,0,0,0,eelriver         ,235.2600,41.4070,60.1638,0,-41.5381,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,18,0.0000,0.0000,3.5552,0.0000
0,0,0,0,0,0,carson           ,240.6520,38.7620,62.2166,0,-41.4058,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,19,0.0000,0.0000,2.1334,0.0000
0,0,0,0,0,0,Nevada           ,243.9910,36.6180,24.5670,1,-79.1677,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,20,0.0000,0.0000,0.0430,0.0000
0,0,0,0,0,0,DeathValley      ,242.9240,36.3780,236.7632,1,31.4753,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,21,0.0000,0.0000,0.3951,0.0000
0,0,0,0,0,0,SanJacinto       ,243.3470,33.3940,196.7666,1,-17.2564,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,22,0.0000,0.0000,0.3880,0.0000
0,0,0,0,0,0,Elsinore         ,243.7000,32.5460,189.9744,1,-28.2608,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,23,0.0000,0.0000,0.3826,0.0000
0,0,0,0,0,0,SanBernadino     ,243.3500,34.0630,241.9689,1,33.1734,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,24,0.0000,0.0000,6.7100,0.0000
0,0,0,0,0,0,Salton           ,243.8410,33.4870,74.5218,1,-40.2087,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,25,0.0000,0.0000,1.1285,0.0000
0,0,0,0,0,0,san_gabriel      ,241.8350,34.4290,105.6219,1,-56.1234,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,26,0.0000,0.0000,0.5543,0.0000
0,0,0,0,0,0,WhiteWolf        ,241.7320,35.2940,235.3712,1,28.5133,1,0.0000,1.0000,0,0,0,0,0,-1.0000,-1.0000,27,0.0000,0.0000,0.8340,0.0000
0,0,0,0,0,0,WesternMojave    ,242.3600,34.8800,85.9003,1,-46.0945,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,28,0.0000,0.0000,0.4795,0.0000
0,0,0,0,0,0,SouthernIslands  ,241.4010,33.4990,161.2829,1,-42.9318,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,29,0.0000,0.0000,0.4098,0.0000
0,0,0,0,0,0,Pacific          ,240.1320,32.5230,105.8182,1,-50.5661,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,30,0.0000,0.0000,0.7531,0.0000
0,0,0,0,0,0,Chino            ,242.1460,34.0720,240.4223,1,32.3607,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,31,0.0000,0.0000,8.3992,0.0000
0,0,0,0,0,0,labasin          ,241.8190,34.0370,66.6357,0,-38.4116,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,32,0.0000,0.0000,3.8442,0.0000
0,0,0,0,0,0,VerdugoHills     ,241.7160,34.2010,66.2158,1,-37.7323,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,33,0.0000,0.0000,4.1231,0.0000
0,0,0,0,0,0,SanDiego         ,242.9240,32.3840,80.1045,1,-44.6220,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,34,0.0000,0.0000,1.2653,0.0000
0,0,0,0,0,0,Landers          ,243.5550,34.6670,67.9798,1,-38.3833,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,35,0.0000,0.0000,1.3384,0.0000
0,0,0,0,0,0,Helendale        ,243.0720,34.8610,69.4387,1,-38.9138,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,36,0.0000,0.0000,1.1088,0.0000
0,0,0,0,0,0,MojaveEasternMost,243.7240,34.9420,243.3449,1,33.3403,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,37,0.0000,0.0000,0.8386,0.0000
0,0,0,0,0,0,PanamintValley   ,242.3600,36.2150,66.0449,1,-39.7646,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,38,0.0000,0.0000,1.0916,0.0000
0,0,0,0,0,0,coso             ,242.1520,35.4830,241.1916,0,34.9130,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,39,0.0000,0.0000,7.3867,0.0000
0,0,0,0,0,0,wassuk           ,241.2750,38.1480,63.3177,0,-38.9037,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,40,0.0000,0.0000,2.5419,0.0000
0,0,0,0,0,0,CoastalRanges    ,239.5520,35.0230,74.2389,1,-44.3005,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,41,0.0000,0.0000,1.6263,0.0000
0,0,0,0,0,0,LittleVentura01  ,240.7640,34.3460,66.3944,1,-39.1546,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,42,0.0000,0.0000,3.3656,0.0000
0,0,0,0,0,0,sanfrancisco     ,237.7080,37.6420,224.3666,0,27.6810,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,43,0.0000,0.0000,1.2222,0.0000
0,0,0,0,0,0,lafayette        ,237.4230,38.3990,208.5997,0,-2.1381,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,44,0.0000,0.0000,0.1775,0.0000
