other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,strain_rate,strain_rate_sig,strain_rate_flag,area_steradians,area_plate_carree,block_label,euler_lon_err,euler_lat_err,euler_rate,euler_rate_err
0,0,0,0,0,0,MohawkValley     ,239.5820,39.9250,62.8181,0,-42.8702,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,0,0.0000,0.0000,1.3992,0.0000
0,0,0,0,0,0,SierraBlock      ,240.5970,36.7460,214.4202,1,-0.5746,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,1,0.0000,0.0000,0.1641,0.0000
0,0,0,0,0,0,J                ,238.8910,41.6940,61.5114,0,-43.8094,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,2,0.0000,0.0000,1.2109,0.0000
0,0,0,0,0,0,H                ,240.5120,44.0180,62.7955,0,-45.2283,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,3,0.0000,0.0000,0.5571,0.0000
0,0,0,0,0,0,C                ,237.6600,45.2130,62.5303,0,-43.4737,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,4,0.0000,0.0000,0.8350,0.0000
0,0,0,0,0,0,PP               ,236.2990,47.8140,61.6831,0,-44.6445,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,5,0.0000,0.0000,0.9000,0.0000
0,0,0,0,0,0,V                ,237.3840,46.1770,99.7379,0,-13.1788,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,6,0.0000,0.0000,0.0710,0.0000
0,0,0,0,0,0,KK               ,237.4070,47.4510,233.0558,0,48.9860,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,7,0.0000,0.0000,0.6995,0.0000
0,0,0,0,0,0,U                ,238.2100,44.0010,59.8629,0,-43.6615,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,8,0.0000,0.0000,1.6693,0.0000
0,0,0,0,0,0,wnv              ,241.7500,40.1450,64.0752,0,-44.8599,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,9,0.0000,0.0000,0.5887,0.0000
0,0,0,0,0,0,georgia          ,234.8810,50.2880,233.2548,0,52.2545,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,10,0.0000,0.0000,0.5524,0.0000
0,0,0,0,0,0,X                ,238.4760,47.7610,206.0150,0,63.9146,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,11,0.0000,0.0000,0.0648,0.0000
0,0,0,0,0,0,NorthAmerica     ,254.0070,38.0010,56.2845,1,-48.2568,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,12,0.0000,0.0000,0.0213,0.0000
0,0,0,0,0,0,D                ,239.7320,46.4920,63.1222,0,-43.7375,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,13,0.0000,0.0000,0.4821,0.0000
0,0,0,0,0,0,cnv              ,242.7450,39.9510,63.0689,0,-51.8619,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,14,0.0000,0.0000,0.1375,0.0000
0,0,0,0,0,0,JDF              ,233.7880,46.8830,66.8195,1,-32.4512,1,1.0990,0.0100,1,0,0,0,0,-1.0000,-1.0000,15,0.0000,0.0000,1.0966,0.0000
0,0,0,0,0,0,carson           ,240.6520,38.7620,62.2841,0,-41.5047,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,16,0.0000,0.0000,2.0329,0.0000
0,0,0,0,0,0,Nevada           ,243.9910,36.6180,25.8096,1,-79.0343,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,17,0.0000,0.0000,0.0432,0.0000
0,0,0,0,0,0,DeathValley      ,242.9240,36.3780,236.5086,1,31.1545,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,18,0.0000,0.0000,0.3745,0.0000
0,0,0,0,0,0,SanJacinto       ,243.3470,33.3940,195.3875,1,-18.8190,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,19,0.0000,0.0000,0.3822,0.0000
0,0,0,0,0,0,Elsinore         ,243.7000,32.5460,192.5635,1,-25.5853,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,20,0.0000,0.0000,0.3880,0.0000
0,0,0,0,0,0,SanBernadino     ,243.3500,34.0630,241.9813,1,33.1880,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,21,0.0000,0.0000,6.7891,0.0000
0,0,0,0,0,0,Salton           ,243.8410,33.4870,74.8041,1,-40.3321,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,22,0.0000,0.0000,1.1034,0.0000
0,0,0,0,0,0,san_gabriel      ,241.8350,34.4290,109.8799,1,-56.8094,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,23,0.0000,0.0000,0.5253,0.0000
0,0,0,0,0,0,WhiteWolf        ,241.7320,35.2940,235.4617,1,28.5536,1,0.0000,1.0000,0,0,0,0,0,-1.0000,-1.0000,24,0.0000,0.0000,0.8412,0.0000
0,0,0,0,0,0,WesternMojave    ,242.3600,34.8800,86.7243,1,-46.3162,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,25,0.0000,0.0000,0.4669,0.0000
0,0,0,0,0,0,SouthernIslands  ,241.4010,33.4990,163.8819,1,-41.5343,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,26,0.0000,0.0000,0.4057,0.0000
0,0,0,0,0,0,Pacific          ,240.1320,32.5230,105.9791,1,-50.6700,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,27,0.0000,0.0000,0.7512,0.0000
0,0,0,0,0,0,Chino            ,242.1460,34.0720,240.4440,1,32.3741,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,28,0.0000,0.0000,8.4752,0.0000
0,0,0,0,0,0,labasin          ,241.8190,34.0370,66.7973,0,-38.5526,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,29,0.0000,0.0000,3.7388,0.0000
0,0,0,0,0,0,VerdugoHills     ,241.7160,34.2010,66.1445,1,-37.6846,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,30,0.0000,0.0000,4.1799,0.0000
0,0,0,0,0,0,SanDiego         ,242.9240,32.3840,79.0434,1,-44.1320,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,31,0.0000,0.0000,1.3310,0.0000
0,0,0,0,0,0,Landers          ,243.5550,34.6670,68.2372,1,-38.5446,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,32,0.0000,0.0000,1.2776,0.0000
0,0,0,0,0,0,Helendale        ,243.0720,34.8610,69.5940,1,-39.0173,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,33,0.0000,0.0000,1.0798,0.0000
0,0,0,0,0,0,MojaveEasternMost,243.7240,34.9420,243.3316,1,33.4146,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,34,0.0000,0.0000,0.8759,0.0000
0,0,0,0,0,0,PanamintValley   ,242.3600,36.2150,66.2201,1,-39.9179,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,35,0.0000,0.0000,1.0434,0.0000
0,0,0,0,0,0,coso             ,242.1520,35.4830,241.2614,0,34.9528,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,36,0.0000,0.0000,7.9476,0.0000
0,0,0,0,0,0,wassuk           ,241.2750,38.1480,63.3811,0,-38.9088,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,37,0.0000,0.0000,2.4614,0.0000
0,0,0,0,0,0,CoastalRanges    ,239.5520,35.0230,73.9714,1,-44.1701,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,38,0.0000,0.0000,1.6514,0.0000
0,0,0,0,0,0,LittleVentura01  ,240.7640,34.3460,66.4028,1,-39.1587,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,39,0.0000,0.0000,3.3586,0.0000
0,0,0,0,0,0,sanfrancisco     ,237.7080,37.6420,221.5927,0,25.3832,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,40,0.0000,0.0000,1.0036,0.0000
0,0,0,0,0,0,lafayette        ,237.4230,38.3990,217.3864,0,11.0231,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,41,0.0000,0.0000,0.2394,0.0000
0,0,0,0,0,0,greenwood        ,237.3510,38.8920,234.1902,0,37.3727,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,42,0.0000,0.0000,3.0443,0.0000
0,0,0,0,0,0,SEalaska         ,215.6170,63.2060,37.2519,0,-68.2677,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,43,0.0000,0.0000,0.3086,0.0000
0,0,0,0,0,0,Restoftheworld   ,109.4520,26.4190,310.8841,1,64.3157,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,44,0.0000,0.0000,0.0732,0.0000
