lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,mesh_idx,strike_slip_rate,dip_slip_rate,strike_slip_rate_kinematic,dip_slip_rate_kinematic,strike_slip_coupling,dip_slip_coupling
232.06,49.636,0.0,232.155,49.468,0.0,232.174,49.619,-3.1,0,0.1901296457959037,-0.647787216872676,0.2489052516486847,30.08865088847142,0.7727908204771625,-0.022522447241515052
232.411,49.299,-3.8,232.173,49.109,0.0,232.41500000000002,49.088,-2.1,0,4.705272399263615,-0.36230085223396,6.139670460103886,28.17417178684978,0.7671045875373746,-0.013020914221571457
234.663,43.131,0.0,234.711,42.959,0.0,234.957,43.141,-3.6,0,-4.000209086404518,19.540494221282124,-5.750131832929011,26.620375184001233,0.6969225209018548,0.7342429757671816
235.01600000000002,40.553,0.0,235.0,40.375,0.0,235.122,40.45,-3.7,0,-14.311325245251378,-7.787993274596636,-14.542205122819254,22.891199971878272,0.9841419407137696,-0.34033603457338807
234.215,47.089,-2.3,234.514,47.122,-4.8,234.43099999999998,47.282,-4.8,0,-0.016622187271731217,27.655484575165975,0.10065214373844178,28.157931089101453,-0.2306318192708138,0.9821921549402494
232.16500000000002,49.288,0.0,232.173,49.109,0.0,232.411,49.299,-3.8,0,-9.806422483945456,-0.9568687209729718,-12.74857019013901,25.944047391344043,0.7696768553241461,-0.03712641569165749
235.189,41.661,-4.5,234.916,41.672,-2.1,234.963,41.518,-2.0,0,-1.1847058036966593,19.053311535137823,-3.3939545258839487,26.542416755092887,0.3474951175432424,0.7179719607638074
235.236,41.503,-4.6,235.189,41.661,-4.5,234.963,41.518,-2.0,0,-2.4730052676924874,18.94676378126658,-6.831863549599049,25.843450184743396,0.36098349195769586,0.7331702403635548
235.248,41.188,-4.2,235.276,41.348,-4.6,235.05200000000002,41.214,-2.0,0,-8.747839207137,19.346746706211327,-11.339407520350015,24.124607188169776,0.7711086174371931,0.8018299369859105
234.951,42.568,-2.7,234.80700000000002,42.44,0.0,235.09699999999998,42.386,-4.2,0,-4.178426804855342,11.083526243689407,-6.154107173747764,26.438531018342232,0.679913207398075,0.419762853478453
235.269,40.744,-6.5,235.312,40.919,-6.5,235.058,40.907,0.0,0,-17.236186380348784,10.992304555894023,-17.635215106261636,20.2513766192626,0.9773638640496549,0.5424487070292573
234.047,47.495,-2.2,234.162,47.276,-2.5,234.334,47.443,-4.7,0,-0.15391280964319684,27.027367944361046,-3.250118236211282,28.06642800897898,0.04889455229021018,0.9630534517775138
235.269,40.744,-6.5,235.058,40.907,0.0,235.055,40.729,0.0,0,-12.624362693516069,10.829011742110637,-12.864469600371702,23.944183992502296,0.981325978305345,0.4520310935509088
233.725,47.955,-2.3,233.893,48.09,-4.5,233.588,48.137,-2.0,0,0.550271386529761,22.430950303246835,0.9739309603802742,28.42689404332205,0.5630801563389954,0.7888885695771964
234.162,47.276,-2.5,234.215,47.089,-2.3,234.43099999999998,47.282,-4.8,0,0.47720825872624884,27.444598920568666,-2.4711238343213076,28.078168387414124,-0.19013488029214007,0.9774806525360827
235.09300000000002,42.2,-4.3,234.862,42.16,-2.0,234.923,42.001,-2.4,0,-5.256772990704684,11.742680762215343,-9.509353019256565,25.1530528373533,0.5531203143415845,0.46746633232814205
234.957,43.141,-3.6,234.711,42.959,0.0,235.013,42.979,-4.2,0,-7.303100243627402,16.968452960171113,-10.689417662667395,25.029000682193526,0.6838111070856113,0.6781469997924088
232.155,49.468,0.0,232.16500000000002,49.288,0.0,232.411,49.299,-3.8,0,-9.715695170765292,-1.634969249465539,-12.470772011168556,26.109014886885838,0.779396343455077,-0.06315740228160072
235.13299999999998,42.007,-4.5,235.09300000000002,42.2,-4.3,234.923,42.001,-2.4,0,-4.8890002805748685,12.10118119132347,-10.00975775051652,24.932597737268615,0.4885495787934504,0.48586615705096087
235.276,41.348,-4.6,235.036,41.366,-2.2,235.05200000000002,41.214,-2.0,0,-4.659726022425803,20.7642401356062,-6.788731579276952,25.802072097249884,0.6856467365395943,0.8046838690448019
234.914,41.826,-2.0,235.166,41.851,-4.5,234.923,42.001,-2.4,0,-3.1164453277256374,14.583243503007086,-8.074691853269925,25.58823955444941,0.3858265481988088,0.5703298523861324
233.488,48.49,-4.2,233.24200000000002,48.316,0.0,233.52100000000002,48.295,-2.7,0,4.603869772020462,19.59460573314738,7.0428008780570375,27.746589222180017,0.6539457770465955,0.7057788472528896
233.893,48.09,-4.5,233.786,48.221,-4.6,233.588,48.137,-2.0,0,4.213848166666366,21.21353386876932,6.9765671872958785,27.644351297053404,0.603713900070179,0.7671038511471439
233.24200000000002,48.316,0.0,233.488,48.49,-4.2,233.265,48.528,-2.5,0,6.739621348045614,18.16593474035853,10.04734833242312,26.82378506781567,0.6710820656536632,0.6767868789436713
235.166,41.851,-4.5,235.13299999999998,42.007,-4.5,234.923,42.001,-2.4,0,-2.8877445667794324,13.762931164658845,-7.333421928754284,25.822417329572154,0.39361096846713906,0.5333928451291305
232.74200000000002,48.885,-2.5,232.7,48.71,0.0,233.011,48.768,-3.0,0,10.860988251023288,9.373666017531324,14.825156694390722,24.60619229203568,0.7331560726802355,0.38070114061517674
234.663,43.131,0.0,234.957,43.141,-3.6,234.813,43.303,-2.4,0,-4.029319592832441,21.249979456189585,-5.743811119910617,26.644539180964586,0.7025204344492653,0.7976617591657147
234.535,46.06,-2.0,234.82,45.899,-4.3,234.833,46.068,-4.7,0,-1.79212155325288,25.518376319136376,-7.943274457602094,26.70638512793446,0.22657753431536842,0.9554595093210249
234.73399999999998,45.343,-2.4,234.92700000000002,45.258,-4.5,234.878,45.435,-4.1,0,-8.99866360021525,24.48217409351823,-10.709236930202557,25.578414372192206,0.8400271609826241,0.9571209373481009
