other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,strain_rate,strain_rate_sig,strain_rate_flag,area_steradians,area_plate_carree,block_label,euler_lon_err,euler_lat_err,euler_rate,euler_rate_err
0,0,0,0,0,0,MohawkValley     ,239.5820,39.9250,62.5585,0,-42.6630,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,0,0.0000,0.0000,1.5138,0.0000
0,0,0,0,0,0,SierraBlock      ,240.5970,36.7460,209.3668,1,-9.4149,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,1,0.0000,0.0000,0.1405,0.0000
0,0,0,0,0,0,J                ,238.8910,41.6940,61.6389,0,-43.9091,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,2,0.0000,0.0000,1.1510,0.0000
0,0,0,0,0,0,H                ,240.5120,44.0180,62.7996,0,-45.1628,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,3,0.0000,0.0000,0.5564,0.0000
0,0,0,0,0,0,C                ,237.6600,45.2130,61.0421,0,-43.8866,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,4,0.0000,0.0000,1.0734,0.0000
0,0,0,0,0,0,PP               ,236.2990,47.8140,213.7023,0,59.2889,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,5,0.0000,0.0000,0.1236,0.0000
0,0,0,0,0,0,V                ,237.3840,46.1770,98.2526,0,-17.3179,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,6,0.0000,0.0000,0.0794,0.0000
0,0,0,0,0,0,KK               ,237.4070,47.4510,62.4124,0,-45.0922,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,7,0.0000,0.0000,0.4915,0.0000
0,0,0,0,0,0,daisybanks       ,236.3880,43.3910,60.1800,0,-43.3283,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,8,0.0000,0.0000,1.5031,0.0000
0,0,0,0,0,0,U                ,238.2100,44.0010,60.2914,0,-43.7913,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,9,0.0000,0.0000,1.3315,0.0000
0,0,0,0,0,0,wnv              ,241.7500,40.1450,64.0813,0,-44.8708,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,10,0.0000,0.0000,0.5858,0.0000
0,0,0,0,0,0,salish           ,236.6175,48.8082,230.8246,0,53.5884,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,11,0.0000,0.0000,0.3597,0.0000
