lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,mesh_idx,strike_slip_rate,dip_slip_rate,strike_slip_rate_kinematic,dip_slip_rate_kinematic,strike_slip_coupling,dip_slip_coupling
232.06,49.636,0.0,232.155,49.468,0.0,232.174,49.619,-3.1,0,-3.115038035550804,26.796823620355013,-5.6215276287265326,40.11119347359092,0.5585001442011884,0.6664830618463105
232.411,49.299,-3.8,232.173,49.109,0.0,232.41500000000002,49.088,-2.1,0,1.289074505535932,28.623737741304332,2.038371669051945,38.04592287075266,0.6211775709786246,0.7509996879128896
234.663,43.131,0.0,234.711,42.959,0.0,234.957,43.141,-3.6,0,-1.8793371741920573,21.255952667752453,-3.9195201511426205,24.476088402151674,0.4783129483149799,0.8683124733560044
235.01600000000002,40.553,0.0,235.0,40.375,0.0,235.122,40.45,-3.7,0,2.0213655072773835,11.675926342275012,3.1979860526436994,25.243834394967962,0.7061714362179609,0.4598329363383172
234.215,47.089,-2.3,234.514,47.122,-4.8,234.43099999999998,47.282,-4.8,0,-0.17122743124311465,30.147929327130303,-1.4760351144607355,31.552519555868628,0.08865968103223104,0.9552627851652433
232.16500000000002,49.288,0.0,232.173,49.109,0.0,232.411,49.299,-3.8,0,-13.673662308852482,23.206952867847072,-22.18936922814705,31.21424775541386,0.6174085597282971,0.742601583654355
235.189,41.661,-4.5,234.916,41.672,-2.1,234.963,41.518,-2.0,0,8.207963700948863,10.640044258559803,11.520970340965604,15.166941109666482,0.7211036366988736,0.7034505742289093
235.236,41.503,-4.6,235.189,41.661,-4.5,234.963,41.518,-2.0,0,6.393432691598054,11.506067944048457,9.10909589793664,16.919414868100148,0.7133882568259415,0.6811484571178822
235.248,41.188,-4.2,235.276,41.348,-4.6,235.05200000000002,41.214,-2.0,0,4.227205504726825,13.66559553346606,5.772244644148799,19.843361359190766,0.7541533762513046,0.6881497403660816
234.951,42.568,-2.7,234.80700000000002,42.44,0.0,235.09699999999998,42.386,-4.2,0,3.7897357101659974,9.552362305407557,9.046521291380003,12.307293889319197,0.43497387807597965,0.7834295561595465
235.269,40.744,-6.5,235.312,40.919,-6.5,235.058,40.907,0.0,0,-0.6172748998081486,14.948998226804319,-0.5854523881786236,23.04606361046936,0.7455932316002757,0.6465605956674374
234.047,47.495,-2.2,234.162,47.276,-2.5,234.334,47.443,-4.7,0,-0.8954047136156252,30.4544662894064,-9.351013728227123,31.8976207757542,0.0970228370133795,0.9547234836009538
235.269,40.744,-6.5,235.058,40.907,0.0,235.055,40.729,0.0,0,3.3845622467907037,14.698433171831484,4.699883953003678,23.12642297655401,0.7590614940629354,0.633959809135029
233.725,47.955,-2.3,233.893,48.09,-4.5,233.588,48.137,-2.0,0,-1.3939322041705682,31.420639952303635,-4.367219593158275,34.551782473697926,0.3240975382101958,0.9092467419493744
234.162,47.276,-2.5,234.215,47.089,-2.3,234.43099999999998,47.282,-4.8,0,-0.3839778159784815,30.210638021880335,-4.463037781354721,31.477826474357272,0.0911472379730323,0.9595478720193418
235.09300000000002,42.2,-4.3,234.862,42.16,-2.0,234.923,42.001,-2.4,0,4.100051825733358,11.015306313532395,7.570212548188465,14.986393239199913,0.5586200023547719,0.7399280709965026
234.957,43.141,-3.6,234.711,42.959,0.0,235.013,42.979,-4.2,0,-3.594719483670589,19.608991490199028,-8.570645466745333,23.33684866243503,0.4190313100645442,0.840091945838602
232.155,49.468,0.0,232.16500000000002,49.288,0.0,232.411,49.299,-3.8,0,-13.037585717587712,22.647523154997494,-21.84926466584448,31.71892034188624,0.5979404090853446,0.7129909173080274
235.13299999999998,42.007,-4.5,235.09300000000002,42.2,-4.3,234.923,42.001,-2.4,0,3.722872750115539,10.866478625806913,6.956818238507651,15.42459183354697,0.5529708848248169,0.7091569218051238
235.276,41.348,-4.6,235.036,41.366,-2.2,235.05200000000002,41.214,-2.0,0,7.097278121246521,12.63641924495972,9.459845833129918,18.099735237750338,0.762318659031724,0.6982029512908473
234.914,41.826,-2.0,235.166,41.851,-4.5,234.923,42.001,-2.4,0,5.276747402842308,11.068312060254327,8.456816969793834,15.656957247295821,0.6373724610864434,0.7104068849909809
233.488,48.49,-4.2,233.24200000000002,48.316,0.0,233.52100000000002,48.295,-2.7,0,1.5453986696458644,31.05400185333002,3.2309593924464117,35.64013956258327,0.4723360730599685,0.870929856975869
233.893,48.09,-4.5,233.786,48.221,-4.6,233.588,48.137,-2.0,0,1.1146377223056456,31.16693687309203,3.1886886999893647,34.89642024192329,0.3435733928822426,0.8929137843096878
233.24200000000002,48.316,0.0,233.488,48.49,-4.2,233.265,48.528,-2.5,0,3.6220368219113332,30.32708457556662,7.165501847853168,35.28254186287368,0.5030207275788021,0.8590338604157608
235.166,41.851,-4.5,235.13299999999998,42.007,-4.5,234.923,42.001,-2.4,0,4.981240624353838,10.45287966854357,8.570874231203533,15.178654505265143,0.5945333296003458,0.6927557745021888
232.74200000000002,48.885,-2.5,232.7,48.71,0.0,233.011,48.768,-3.0,0,8.374020130150134,27.822371706504697,13.787755023612984,34.38462983042566,0.6061780725789324,0.8080426688286297
234.663,43.131,0.0,234.957,43.141,-3.6,234.813,43.303,-2.4,0,-1.9475254908420885,21.070592817622323,-3.97063813035399,24.39045270680002,0.48907714542780634,0.8637399840164168
234.535,46.06,-2.0,234.82,45.899,-4.3,234.833,46.068,-4.7,0,-6.167065562547866,25.61584401287558,-10.385654810562535,27.04174411024716,0.5853548690920235,0.9466188772792188
234.73399999999998,45.343,-2.4,234.92700000000002,45.258,-4.5,234.878,45.435,-4.1,0,-10.11072948877402,22.61189192543861,-13.10947547518495,24.253617785851336,0.7635866272027958,0.9317065452069954
234.82,45.899,-4.3,234.535,46.06,-2.0,234.588,45.868,-2.1,0,-6.083385388632958,26.048381020238036,-9.695680746617889,27.241106600704402,0.6185190916020123,0.9556822072056781
