lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_up_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi,model_up_vel,model_up_vel_residual,model_up_vel_rotation,model_up_elastic_segment,model_up_vel_block_strain_rate,model_up_vel_mogi
234.5990,46.7000,0,0,NGH1_ACO,28.2000,8.6000,4.5000,4.8000,1,0,1,0,0,0,0.0000,-2529731.1063,-3559545.9027,4634052.7573,14,25.4154,13.1499,-2.7846,4.5499,1.9551,6.3062,0.3939,0.6631,-23.8542,-7.5068,2.4952,0.0000,0.0000,0.0000,0.0000,-2.3746,-2.3746,0.0000,-0.1206,0.0000,0.0000
235.0340,45.3020,0,0,NCL1_ACO,20.8000,23.2000,6.5000,6.8000,1,0,1,0,0,0,0.0000,-2566681.4114,-3670234.4923,4526132.6500,14,19.4143,15.9476,-1.3857,-7.2524,2.4896,6.4021,0.3804,-0.0898,-17.3050,-9.4557,2.2683,0.0000,0.0000,0.0000,0.0000,-2.2851,-2.2851,0.0000,0.0168,0.0000,0.0000
234.8060,44.4290,0,0,NNP1_ACO,20.5000,19.8000,4.8000,4.9000,1,0,1,0,0,0,0.0000,-2620711.8899,-3715921.9964,4457369.6693,8,17.4197,18.1331,-3.0803,-1.6669,2.3423,11.0928,0.6390,1.8555,-15.7164,-8.8958,2.4910,0.0000,0.0000,0.0000,0.0000,-1.8725,-1.8725,0.0000,-0.6185,0.0000,0.0000
234.8960,43.5730,0,0,NGH1_ACO,22.1000,16.8000,9.2000,9.7000,1,0,1,0,0,0,0.0000,-2652873.6929,-3774097.3545,4388940.8506,8,15.5772,16.5644,-6.5228,-0.2356,-0.0548,10.9093,0.5173,0.2652,-16.1493,-5.9203,2.1623,0.0000,0.0000,0.0000,0.0000,-2.1395,-2.1395,0.0000,-0.0228,0.0000,0.0000
224.7720,59.5280,0,14,ab44_PAN,2.6710,5.9470,0.0890,0.1060,1,0,1,0,0,0,0.0000,-2292344.5757,-2274172.7061,5487954.6564,13,-0.8319,0.9544,-3.5029,-4.9926,0.4189,0.2994,1.2507,-0.6531,0.0000,-0.0018,-0.0135,0.0000,0.0000,0.0000,0.0000,-0.3181,-0.3181,0.0000,0.3316,0.0000,0.0000
225.3530,56.2450,0,46,ab48_PAN,-1.9630,2.8320,0.1440,0.3800,1,0,1,0,0,0,0.0000,-2486300.5038,-2517127.0725,5294028.0097,46,-2.5538,4.5739,-0.5908,1.7419,-7.2263,-1.8547,-4.6771,-6.4288,0.0047,0.0003,-0.0223,0.0000,0.0000,0.0000,0.0000,-1.3806,-1.3806,0.0000,1.4029,0.0000,0.0000
226.9320,55.5800,0,14,ab49_PAN,1.0700,3.7340,0.2070,0.1180,1,0,1,0,0,0,0.0000,-2457791.2162,-2629394.9631,5252608.4879,13,0.0378,2.3510,-1.0322,-1.3830,0.2678,0.2416,0.2266,-2.1090,0.0035,-0.0003,-0.0281,0.0000,0.0000,0.0000,0.0000,0.0511,0.0511,0.0000,-0.0230,0.0000,0.0000
225.4550,58.4170,0,14,ab50_PAN,-0.3800,1.0740,0.1030,0.1250,1,0,1,0,0,0,0.0000,-2339289.0466,-2376740.9985,5424313.8224,13,-0.3880,1.2774,-0.0080,0.2034,0.3771,0.2812,0.7647,-0.9944,0.0004,-0.0018,-0.0163,0.0000,0.0000,0.0000,0.0000,-0.1375,-0.1375,0.0000,0.1538,0.0000,0.0000
227.0860,56.7980,0,14,ab51_PAN,-3.4730,0.2690,0.1340,0.1690,1,0,1,0,0,0,0.0000,-2374137.4019,-2553624.5420,5327928.7492,13,0.2064,1.4219,3.6794,1.1529,0.3179,0.2375,0.1111,-1.1820,0.0003,-0.0024,-0.0227,0.0000,0.0000,0.0000,0.0000,0.0612,0.0612,0.0000,-0.0385,0.0000,0.0000
228.4010,55.0690,0,14,ais6_PAN,1.5070,1.4730,0.3080,0.3570,1,0,1,0,0,0,0.0000,-2420582.3535,-2726463.3642,5220299.8051,13,0.2338,1.4868,-1.2732,0.0138,0.2517,0.2021,0.0172,-1.2822,0.0007,-0.0026,-0.0345,0.0000,0.0000,0.0000,0.0000,0.0754,0.0754,0.0000,-0.0409,0.0000,0.0000
236.5130,48.3900,0,8,albh_PAN,6.5110,4.3720,0.0680,0.0570,1,0,1,0,0,0,0.0000,-2332979.5871,-3526485.8735,4760825.0431,5,6.6887,4.7236,0.1777,0.3516,3.0722,2.8306,0.2095,0.0275,-3.8261,-1.9206,-0.6417,0.0000,0.0000,0.0000,0.0000,0.6865,0.6865,0.0000,-0.0447,0.0000,0.0000
297.6600,82.4940,0,47,alrt_PAN,-2.5460,-1.8080,0.1720,0.2200,1,0,1,0,0,0,0.0000,386131.8000,-736721.9233,6312883.2163,47,-2.4473,-0.6421,0.0987,1.1659,-2.4316,-0.7870,0.0173,-0.1429,-0.0017,-0.0020,-0.0008,0.0000,0.0000,0.0000,0.0000,-0.0142,-0.0142,0.0000,0.0150,0.0000,0.0000
237.8580,48.1740,0,13,arli_PAN,4.2960,3.0500,0.0890,0.0780,1,0,1,0,0,0,0.0000,-2259093.9074,-3595446.7562,4744850.7671,12,4.4591,3.4138,0.1631,0.3638,3.4975,2.9811,0.6872,0.1822,-1.6489,-0.6149,-0.0103,0.0000,0.0000,0.0000,0.0000,0.1202,0.1202,0.0000,-0.1100,0.0000,0.0000
237.3300,42.1810,0,4,ashl_PAN,-1.9500,6.7510,0.0980,0.0840,1,0,1,0,0,0,0.0000,-2547017.7720,-3971961.0150,4275579.2153,8,-2.5749,6.5878,-0.6249,-0.1632,-3.7320,5.9392,-0.2141,-0.6081,-0.9430,-0.0405,-0.1372,0.0000,0.0000,0.0000,0.0000,0.0157,0.0157,0.0000,0.1215,0.0000,0.0000
242.8460,34.4680,0,28,avry_PAN,-12.3380,13.3290,0.1940,0.1090,1,0,1,0,0,0,0.0000,-2395827.9845,-4670997.5090,3603629.0043,28,-12.9075,14.0651,-0.5695,0.7361,-12.3927,14.4409,0.5320,0.3683,-0.0172,0.0075,-0.0110,0.0000,0.0000,0.0000,0.0000,-0.3369,-0.3369,0.0000,0.3479,0.0000,0.0000
234.8650,48.8350,0,8,bamf_PAN,10.1030,6.8710,0.0850,0.0840,1,0,1,0,0,0,0.0000,-2412079.9884,-3427590.0446,4793521.4694,5,9.7305,7.1689,-0.3725,0.2979,2.9223,2.6735,0.6198,0.0360,-7.4280,-4.5315,-2.0922,0.0000,0.0000,0.0000,0.0000,2.2378,2.2378,0.0000,-0.1456,0.0000,0.0000
242.7950,40.4130,0,17,bamo_PAN,-3.0240,0.8580,0.0570,0.0700,1,0,1,0,0,0,0.0000,-2216440.3074,-4311800.8313,4127967.7102,16,-3.3239,0.4255,-0.2999,-0.4325,-3.0374,0.0242,0.4005,-0.4187,-0.1140,0.0174,-0.0063,0.0000,0.0000,0.0000,0.0000,-0.1056,-0.1056,0.0000,0.1120,0.0000,0.0000
236.5710,48.4290,0,8,bces_PAN,6.1920,3.9210,0.1720,0.1040,1,0,1,0,0,0,0.0000,-2327622.7712,-3526140.4061,4763702.0828,5,6.4642,4.5396,0.2722,0.6186,3.0664,2.8361,0.1337,0.0827,-3.5314,-1.7862,-0.5183,0.0000,0.0000,0.0000,0.0000,0.5093,0.5093,0.0000,0.0091,0.0000,0.0000
237.3430,49.1040,0,14,bclc_PAN,4.0350,2.6880,0.0960,0.1270,1,0,1,0,0,0,0.0000,-2249461.0030,-3509686.6748,4813146.1750,11,3.9748,3.3363,-0.0602,0.6483,3.2564,2.7153,0.7149,0.2022,-1.4333,-0.8232,0.0014,0.0000,0.0000,0.0000,0.0000,0.1520,0.1520,0.0000,-0.1534,0.0000,0.0000
236.8530,49.1150,0,14,bcli_PAN,5.5790,3.4500,0.0900,0.0890,1,0,1,0,0,0,0.0000,-2278888.3080,-3489547.1672,4813946.4173,11,4.3982,3.5384,-1.1808,0.0884,3.2319,2.5138,0.6034,0.0703,-1.7697,-1.0949,-0.0559,0.0000,0.0000,0.0000,0.0000,0.1868,0.1868,0.0000,-0.1309,0.0000,0.0000
237.4610,49.2210,0,14,bcmr_PAN,4.1070,2.0250,0.0950,0.1070,1,0,1,0,0,0,0.0000,-2236936.8553,-3506018.8736,4821648.7455,11,3.6630,3.2093,-0.4440,1.1843,3.1795,2.7638,0.7992,0.3052,-1.2827,-0.7507,0.0163,0.0000,0.0000,0.0000,0.0000,0.1725,0.1725,0.0000,-0.1888,0.0000,0.0000
233.1570,50.5440,0,14,bcov_PAN,2.7260,2.8150,0.0650,0.1090,1,0,1,0,0,0,0.0000,-2426331.1789,-3238274.2404,4916385.7066,11,2.1891,3.2435,-0.5369,0.4285,2.1525,0.9893,0.8489,-0.6708,-0.8855,-1.5834,-0.7028,0.0000,0.0000,0.0000,0.0000,1.1196,1.1196,0.0000,-0.4168,0.0000,0.0000
232.6250,50.6860,0,14,bcph_PAN,2.3890,2.1940,0.0880,0.1570,1,0,1,0,0,0,0.0000,-2448890.0730,-3205913.3931,4926399.1097,11,1.4617,2.3601,-0.9273,0.1661,2.0473,0.7693,0.8150,-1.1891,-0.2293,-0.4017,-0.3125,0.0000,0.0000,0.0000,0.0000,0.7004,0.7004,0.0000,-0.3879,0.0000,0.0000
236.2000,48.5590,0,8,bcsm_PAN,7.3740,4.3610,0.2490,0.2560,1,0,1,0,0,0,0.0000,-2344387.4152,-3502004.1103,4773276.2669,5,7.0968,5.1075,-0.2772,0.7465,3.0264,2.8009,0.1896,0.1605,-4.2600,-2.4671,-0.9643,0.0000,0.0000,0.0000,0.0000,0.8471,0.8471,0.0000,0.1172,0.0000,0.0000
236.9110,49.2760,0,14,bcvc_PAN,5.1180,3.0910,0.0940,0.1070,1,0,1,0,0,0,0.0000,-2267960.7339,-3480505.1885,4825638.7353,11,4.0477,3.3982,-1.0703,0.3072,3.1221,2.5377,0.6231,0.1311,-1.5486,-0.9916,-0.0245,0.0000,0.0000,0.0000,0.0000,0.1691,0.1691,0.0000,-0.1446,0.0000,0.0000
237.5210,48.7550,0,14,beli_PAN,4.7440,2.6470,0.0860,0.0930,1,0,1,0,0,0,0.0000,-2254248.4409,-3541324.8847,4787664.7219,11,4.3493,3.4283,-0.3947,0.7813,3.5048,2.7885,0.7370,0.1488,-1.5816,-0.7886,-0.0079,0.0000,0.0000,0.0000,0.0000,0.1437,0.1437,0.0000,-0.1358,0.0000,0.0000
