name,lon1,lat1,lon2,lat2,dip,res,other3,other6,rake,rakeSig,rakeTog,other7,other8,other9,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,resolution_override,resolution_other,mesh_file_index,mesh_flag,patch_slip_file,patch_slip_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max,ss_reg_flag,ds_reg_flag,ts_reg_flag,x1,y1,z1,x2,y2,z2,length,azimuth,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels,model_strike_slip_rate,model_dip_slip_rate,model_tensile_slip_rate,model_strike_slip_rate_uncertainty,model_dip_slip_rate_uncertainty,model_tensile_slip_rate_uncertainty
Canyon River                                                       ,236.3215,47.3212,236.3319,47.3270,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2393589.6690,-3591955.5261,4681125.4476,-2392674.9238,-3591995.5380,4681562.3702,1016.8047,50.6377,236.3267,47.3241,236.3267,47.3241,-2393132.3038,-3591975.5434,4681343.9238,-2393132.1146,-3591971.2174,7.5000,236.3267,47.3241,5,6,-1.9604,-0.2447,0.0000,0.8363,0.7975,0.0000
Canyon River                                                       ,236.3319,47.3270,236.3430,47.3300,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2392674.9238,-3591995.5380,4681562.3702,-2391843.1390,-3592254.9666,4681788.3458,902.8955,68.3172,236.3374,47.3285,236.3374,47.3285,-2392259.0373,-3592125.2613,4681675.3697,-2392257.7480,-3592121.1275,7.5000,236.3375,47.3285,5,6,-1.8330,-1.3968,0.0000,0.8551,0.7162,0.0000
Canyon River                                                       ,236.3430,47.3300,236.3513,47.3415,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2391843.1390,-3592254.9666,4681788.3458,-2390801.9989,-3591819.0948,4682654.4666,1424.1380,26.1312,236.3471,47.3358,236.3471,47.3358,-2391322.5836,-3592037.0530,4682221.4357,-2391320.9115,-3592041.0472,7.5000,236.3472,47.3357,5,6,-1.8228,1.4570,0.0000,0.7043,1.2119,0.0000
Canyon River                                                       ,236.3513,47.3415,236.3820,47.3481,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2390801.9989,-3591819.0948,4682654.4666,-2388578.4433,-3592650.3990,4683151.4595,2433.1360,72.4365,236.3666,47.3448,236.3666,47.3448,-2389690.2640,-3592234.8119,4682903.0483,-2389688.7477,-3592230.7559,7.5000,236.3667,47.3448,5,6,-1.7935,-1.5799,0.0000,0.8556,0.7319,0.0000
Canyon River                                                       ,236.3820,47.3481,236.3920,47.3477,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2388578.4433,-3592650.3990,4683151.4595,-2387969.4678,-3593094.4592,4683121.3405,756.9166,93.3646,236.3870,47.3479,236.3870,47.3479,-2388273.9597,-3592872.4354,4683136.4082,-2388271.4084,-3592868.9366,7.5000,236.3870,47.3479,6,5,-1.3995,-2.7132,0.0000,0.7827,1.0015,0.0000
Canyon River                                                       ,236.3920,47.3477,236.4034,47.3452,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2387969.4678,-3593094.4592,4683121.3405,-2387367.5788,-3593739.7187,4682933.0915,905.1484,107.8786,236.3977,47.3465,236.3977,47.3465,-2387668.5293,-3593417.0979,4683027.2278,-2387665.3629,-3593414.1443,7.5000,236.3977,47.3464,6,5,-1.0165,-3.3046,0.0000,0.6862,1.2461,0.0000
Canyon River                                                       ,236.4034,47.3452,236.4248,47.3480,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2387367.5788,-3593739.7187,4682933.0915,-2385898.5842,-3594440.4767,4683143.9298,1646.7344,79.0954,236.4141,47.3466,236.4141,47.3466,-2386633.1012,-3594090.1274,4683038.5496,-2386631.2369,-3594086.2192,7.5000,236.4141,47.3466,5,6,-1.6836,-1.8821,0.0000,0.8389,0.7775,0.0000
Canyon River                                                       ,236.4248,47.3480,236.4931,47.3771,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2385898.5842,-3594440.4767,4683143.9298,-2380298.7595,-3595298.3314,4685334.4795,6089.8466,57.8844,236.4590,47.3625,236.4589,47.3626,-2383098.9395,-3594869.8118,4684239.7400,-2383098.2838,-3594865.5316,7.5000,236.4590,47.3625,5,6,-1.9059,-0.4259,0.0000,0.8426,0.7711,0.0000
Canyon River                                                       ,236.4931,47.3771,236.5218,47.3868,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2380298.7595,-3595298.3314,4685334.4795,-2378059.9560,-3595828.5276,4686064.3943,2420.6979,63.5339,236.5075,47.3820,236.5074,47.3820,-2379179.4000,-3595563.4940,4685699.5214,-2379178.4021,-3595559.2804,7.5000,236.5075,47.3819,5,6,-1.8803,-0.6763,0.0000,0.8542,0.7387,0.0000
Canyon River                                                       ,236.5218,47.3868,236.5264,47.3913,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2378059.9560,-3595828.5276,4686064.3943,-2377568.2545,-3595712.4287,4686402.9689,609.0379,34.7667,236.5241,47.3890,236.5241,47.3891,-2377814.1079,-3595770.4823,4686233.6869,-2377813.1128,-3595774.6965,7.5000,236.5241,47.3890,5,6,-1.8026,1.2565,0.0000,0.7231,1.1774,0.0000
