lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_up_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi,model_up_vel,model_up_vel_residual,model_up_vel_rotation,model_up_elastic_segment,model_up_vel_block_strain_rate,model_up_vel_mogi
234.5990,46.7000,0,0,NGH1_ACO,28.2000,8.6000,4.5000,4.8000,1,0,1,0,0,0,0.0000,-2529731.1063,-3559545.9027,4634052.7573,3,25.1712,13.6023,-3.0288,5.0023,2.4306,6.9655,0.4737,0.8038,-23.2143,-7.4405,2.4183,0.0000,0.0000,0.0000,0.0000,-2.2918,-2.2918,0.0000,-0.1265,0.0000,0.0000
235.0340,45.3020,0,0,NCL1_ACO,20.8000,23.2000,6.5000,6.8000,1,0,1,0,0,0,0.0000,-2566681.4114,-3670234.4923,4526132.6500,3,19.3411,15.9590,-1.4589,-7.2410,2.2313,6.9015,0.3859,-0.0088,-17.4958,-9.0487,2.2893,0.0000,0.0000,0.0000,0.0000,-2.3030,-2.3030,0.0000,0.0137,0.0000,0.0000
234.8060,44.4290,0,0,NNP1_ACO,20.5000,19.8000,4.8000,4.9000,1,0,1,0,0,0,0.0000,-2620711.8899,-3715921.9964,4457369.6693,4,17.8588,18.2897,-2.6412,-1.5103,1.5931,10.1466,0.5227,1.2620,-16.7884,-9.4050,2.6914,0.0000,0.0000,0.0000,0.0000,-2.2808,-2.2808,0.0000,-0.4106,0.0000,0.0000
234.8960,43.5730,0,0,NGH1_ACO,22.1000,16.8000,9.2000,9.7000,1,0,1,0,0,0,0.0000,-2652873.6929,-3774097.3545,4388940.8506,4,15.1103,17.0103,-6.9897,0.2103,-0.3938,9.9949,0.5102,0.1620,-16.0143,-7.1774,2.0538,0.0000,0.0000,0.0000,0.0000,-2.0378,-2.0378,0.0000,-0.0161,0.0000,0.0000
224.7720,59.5280,0,14,ab44_PAN,2.6710,5.9470,0.0890,0.1060,1,0,1,0,0,0,0.0000,-2292344.5757,-2274172.7061,5487954.6564,17,-0.8577,0.9398,-3.5287,-5.0072,0.4177,0.2957,1.2757,-0.6424,-0.0003,-0.0017,-0.0136,0.0000,0.0000,0.0000,0.0000,-0.3261,-0.3261,0.0000,0.3397,0.0000,0.0000
225.3530,56.2450,0,46,ab48_PAN,-1.9630,2.8320,0.1440,0.3800,1,0,1,0,0,0,0.0000,-2486300.5038,-2517127.0725,5294028.0097,48,-2.5823,4.5402,-0.6193,1.7082,-7.3134,-1.9147,-4.7352,-6.4555,0.0041,0.0005,-0.0224,0.0000,0.0000,0.0000,0.0000,-1.4010,-1.4010,0.0000,1.4234,0.0000,0.0000
226.9320,55.5800,0,14,ab49_PAN,1.0700,3.7340,0.2070,0.1180,1,0,1,0,0,0,0.0000,-2457791.2162,-2629394.9631,5252608.4879,17,0.0346,2.3460,-1.0354,-1.3880,0.2677,0.2383,0.2302,-2.1076,0.0029,-0.0001,-0.0282,0.0000,0.0000,0.0000,0.0000,0.0509,0.0509,0.0000,-0.0227,0.0000,0.0000
225.4550,58.4170,0,14,ab50_PAN,-0.3800,1.0740,0.1030,0.1250,1,0,1,0,0,0,0.0000,-2339289.0466,-2376740.9985,5424313.8224,17,-0.4054,1.2667,-0.0254,0.1927,0.3762,0.2776,0.7816,-0.9875,0.0000,-0.0017,-0.0163,0.0000,0.0000,0.0000,0.0000,-0.1415,-0.1415,0.0000,0.1578,0.0000,0.0000
227.0860,56.7980,0,14,ab51_PAN,-3.4730,0.2690,0.1340,0.1690,1,0,1,0,0,0,0.0000,-2374137.4019,-2553624.5420,5327928.7492,17,0.2022,1.4174,3.6752,1.1484,0.3173,0.2342,0.1153,-1.1810,-0.0002,-0.0023,-0.0228,0.0000,0.0000,0.0000,0.0000,0.0610,0.0610,0.0000,-0.0382,0.0000,0.0000
228.4010,55.0690,0,14,ais6_PAN,1.5070,1.4730,0.3080,0.3570,1,0,1,0,0,0,0.0000,-2420582.3535,-2726463.3642,5220299.8051,17,0.2330,1.4831,-1.2740,0.0101,0.2516,0.1990,0.0186,-1.2817,0.0000,-0.0024,-0.0346,0.0000,0.0000,0.0000,0.0000,0.0754,0.0754,0.0000,-0.0409,0.0000,0.0000
