lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,mesh_idx,strike_slip_rate,dip_slip_rate,strike_slip_rate_kinematic,dip_slip_rate_kinematic,strike_slip_coupling,dip_slip_coupling
232.06,49.636,0.0,232.155,49.468,0.0,232.174,49.619,-3.1,0,0.17218192533730445,1.5515063193155376,0.2327797756129808,30.248505695877874,0.7388037095244036,0.049885413941707264
232.411,49.299,-3.8,232.173,49.109,0.0,232.41500000000002,49.088,-2.1,0,4.8746146261602625,3.575849411175451,6.153615387731541,28.323746765128888,0.7919704245123672,0.12515899421419321
234.663,43.131,0.0,234.711,42.959,0.0,234.957,43.141,-3.6,0,-4.194349080155343,20.655540047089325,-5.798661838155624,26.69449039109469,0.723461261578411,0.7739392132377939
235.01600000000002,40.553,0.0,235.0,40.375,0.0,235.122,40.45,-3.7,0,-14.108081655025277,-8.3073010636392,-14.608823205197961,22.915962881699794,0.9657200702467621,-0.36304810756847583
234.215,47.089,-2.3,234.514,47.122,-4.8,234.43099999999998,47.282,-4.8,0,0.05813301609071321,27.39250869557531,0.08543557099857146,28.280720299970604,0.3816809827409484,0.9686077335663495
232.16500000000002,49.288,0.0,232.173,49.109,0.0,232.411,49.299,-3.8,0,-10.103616347805518,2.879835666495171,-12.831282641750917,26.07065151150905,0.7871587062904764,0.10910471305344355
235.189,41.661,-4.5,234.916,41.672,-2.1,234.963,41.518,-2.0,0,-2.900150210163952,15.792460007082859,-3.439277345992995,26.60490434809627,0.8431513619317171,0.5934411475022826
235.236,41.503,-4.6,235.189,41.661,-4.5,234.963,41.518,-2.0,0,-5.837124410974918,15.542843647439302,-6.884288730953383,25.898605189718893,0.8478284149057056,0.5999616449488986
235.248,41.188,-4.2,235.276,41.348,-4.6,235.05200000000002,41.214,-2.0,0,-10.585428924796222,14.167218986201695,-11.400504493613308,24.16603911885546,0.9285092508590357,0.5859575647475829
234.951,42.568,-2.7,234.80700000000002,42.44,0.0,235.09699999999998,42.386,-4.2,0,-4.26227812544004,15.25155573260738,-6.204064077907226,26.505306499513992,0.6870737996878831,0.5755017281396113
235.269,40.744,-6.5,235.312,40.919,-6.5,235.058,40.907,0.0,0,-17.12919600192159,5.830644725409337,-17.70428601693629,20.270012607214273,0.9675246108764128,0.2869653933042342
